idiom,sentence
all hell broke loose,"system

You are an assistant.user

expression: 'all hell broke loose'
 sentence: 'When the demons were unleashed from the underworld, all hell broke loose on Earth.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
all hell broke loose,"system

You are an assistant.user

expression: 'all hell broke loose'
 sentence: 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
all hell broke loose,"system

You are an assistant.user

expression: 'all hell broke loose'
 sentence: 'The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

output: i"
off the hook,"system

You are an assistant.user

expression: 'off the hook'
 sentence: 'The fish wriggled and managed to get itself off the hook.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

Given the sentence: ""The fish wriggled and managed to get itself off the hook.""

Expression: 'off the hook'

Output: l

The expression 'off the hook' is used literally in this sentence, referring to the fish escaping from a hook."
off the hook,"system

You are an assistant.user

expression: 'off the hook'
 sentence: 'She carefully took the ornament off the hook to avoid breaking it.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

Given the sentence: ""She carefully took the ornament off the hook to avoid breaking it.""
Expression: 'off the hook'

Output: l

The expression 'off the hook' is being used literally in this sentence, referring to the physical act of removing the ornament from a hook."
off the hook,"system

You are an assistant.user

expression: 'off the hook'
 sentence: 'The coat fell off the hook and onto the floor.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

Given the sentence: ""The coat fell off the hook and onto the floor.""
And the expression: ""off the hook""

Output: l"
against the grain,"system

You are an assistant.user

expression: 'against the grain'
 sentence: 'Carpenters recommend not to sand against the grain as it can damage the wood.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
against the grain,"system

You are an assistant.user

expression: 'against the grain'
 sentence: 'She sliced the loaf of bread against the grain, making the pieces uneven.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

output: l"
play with fire,"system

You are an assistant.user

expression: 'play with fire'
 sentence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm happy to help!

Given the sentence: ""Despite the danger, he decided to play with fire, poking the embers with a stick.""

The expression ""play with fire"" is used literally in this sentence, as the person is physically poking embers with a stick.

So, the output is: output: l"
play with fire,"system

You are an assistant.user

expression: 'play with fire'
 sentence: 'The children were strictly forbidden to play with fire while camping.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

Given the sentence: ""The children were strictly forbidden to play with fire while camping.""

The expression ""play with fire"" is used literally in this sentence. The children are being told not to play with actual fire while camping, so the expression is being used to convey a physical action.

Output:"
play with fire,"system

You are an assistant.user

expression: 'play with fire'
 sentence: 'As a fire performer, she had learned how to safely play with fire.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

Given the sentence: ""As a fire performer, she had learned how to safely play with fire.""

The expression ""play with fire"" is used literally in this context. Fire performers use fire as part of their performance, so they are literally playing with fire.

Output: l"
make a killing,"system

You are an assistant.user

expression:'make a killing'
 sentence: 'The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
make a killing,"system

You are an assistant.user

expression:'make a killing'
 sentence: 'In the wild, the lion had to make a killing to feed his family.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
make a killing,"system

You are an assistant.user

expression:'make a killing'
 sentence: 'The detective found evidence suggesting that the suspect planned to make a killing.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

Given the sentence: ""The detective found evidence suggesting that the suspect planned to make a killing.""

The expression ""make a killing"" is used figuratively in this sentence. It means to be very successful or profitable, rather than literally planning to cause harm or death.

So, the output is:"
carry the can,"system

You are an assistant.user

expression: 'carry the can'
 sentence: 'John had to carry the can of paint up the ladder to finish the mural.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

Output: l"
carry the can,"system

You are an assistant.user

expression: 'carry the can'
 sentence: 'While camping, she was assigned to carry the can of beans to the picnic table.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
carry the can,"system

You are an assistant.user

expression: 'carry the can'
 sentence: 'After the party, I had to carry the can of recycling out to the curb.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

For the sentence ""After the party, I had to carry the can of recycling out to the curb."" and the expression ""carry the can"", I would generate:

output: l

The expression ""carry the can"" is being used literally in this sentence, as the speaker is physically carrying a"
in the doghouse,"system

You are an assistant.user

expression: 'in the doghouse'
 sentence: 'The mischievous puppy was put back in the doghouse after tearing up the garden.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
in the doghouse,"system

You are an assistant.user

expression: 'in the doghouse'
 sentence: 'When it started to rain heavily, the old retriever took shelter in the doghouse.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
in the doghouse,"system

You are an assistant.user

expression: 'in the doghouse'
 sentence: 'She placed a new, soft blanket in the doghouse for her pet's comfort.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
behind the scenes,"system

You are an assistant.user

expression: 'behind the scenes'
 sentence: 'During the theater tour, we were excited to step behind the scenes and see the actors preparing.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
behind the scenes,"system

You are an assistant.user

expression: 'behind the scenes'
 sentence: 'The film crew was busy setting up props and lighting behind the scenes.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

Given the sentence: ""The film crew was busy setting up props and lighting behind the scenes.""

The expression is: ""behind the scenes""

Output: i"
behind the scenes,"system

You are an assistant.user

expression: 'behind the scenes'
 sentence: 'As a stagehand, John spent a lot of time working behind the scenes.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

Given the sentence: ""As a stagehand, John spent a lot of time working behind the scenes.""

The expression ""behind the scenes"" is used figuratively in this sentence. The phrase is not referring to a physical location literally behind the scenes, but rather it means that John was working in"
go to the wall,"system

You are an assistant.user

expression: 'go to the wall'
 sentence: 'While playing hide and seek, the kids were told to close their eyes and go to the wall.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'd be happy to help!

Given the sentence: ""While playing hide and seek, the kids were told to close their eyes and go to the wall.""

Expression: 'go to the wall'

Output: l

The expression ""go to the wall"" is used literally in this context, as it is a common instruction in"
go to the wall,"system

You are an assistant.user

expression: 'go to the wall'
 sentence: 'The instructor asked the yoga class to go to the wall for wall-supported poses.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

Given the sentence: ""The instructor asked the yoga class to go to the wall for wall-supported poses.""

Expression: 'go to the wall'

Output: l

The expression ""go to the wall"" is used literally in this context, as the instructor is asking the students to physically move to the"
go to the wall,"system

You are an assistant.user

expression: 'go to the wall'
 sentence: 'The artist decided to go to the wall to add some final touches to the mural.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to assist!

For the given sentence: ""The artist decided to go to the wall to add some final touches to the mural.""

Expression: ""go to the wall""

Output: l

The expression ""go to the wall"" is used literally in this context, as the artist is physically going to the wall to"
see the light of day,"system

You are an assistant.user

expression:'see the light of day'
 sentence: 'After months of being bedridden, he was overjoyed to finally see the light of day again.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

output: i"
