idiom
acid test
add fuel to the fire
against the grain
banana republic
batten down the hatches
behind someone's back
behind the scenes
bells and whistles
big fish
blue blood
break someone's heart
break the ice
busy bee
cap in hand
carrot and stick
carry the can
closed book
cook the books
cut and dried
cut and thrust
cut both ways
cut from the same cloth
cut the mustard
cutting edge
don't hold your breath
down the drain
down the tubes
down to the wire
draw a line in the sand
drop the ball
dyed in the wool
eager beaver
eat humble pie
eat someone alive
everything but the kitchen sink
fall from grace
fashion plate
fight fire with fire
fill someone's shoes
fire in the belly
flash in the pan
fly off the handle
full of beans
get a grip
get a rise out of
get stuck in
get the boot
get to grips with
get to the bottom of
get under someone's skin
glass ceiling
go the distance
go the extra mile
grasp the nettle
gravy train
grease the wheels
hammer and tongs
have a ball
heart of gold
heavy cross
hit the bottle
hit the jackpot
hold the line
hot potato
in a nutshell
in the bag
in the clear
in the doghouse
in the raw
in your face
joined at the hip
keep a lid on
keep the peace
look the other way
low profile
make a clean break
make a killing
make a splash
melting pot
move the goalposts
muddy the waters
nest egg
night owl
off and running
off the hook
on a shoestring
on and off
on the back burner
on the back of
on the ball
on the bounce
on the cards
on the horn
on the make
on the mend
on the rocks
on the ropes
on the same page
on the shelf
open the floodgates
out of the loop
out of the woods
over the top
par for the course
pass the buck
peaches and cream
pick someone's brain
poison pill
push the envelope
put down roots
raise the roof
rat run
ring a bell
rise and shine
rock bottom
rocket science
rough around the edges
run out of steam
save someone's skin
set the wheels in motion
shoot the messenger
shut the door on
sit on the fence
sitting duck
spill the beans
swings and roundabouts
take the cake
the bee's knees
to the hilt
toe the line
top dog
touch and go
turn over a new leaf
turn the other cheek
turn the screw
turn the tables
under the microscope
under the sun
under the wire
up a tree
