ID,Idiom,Sentence,Acceptance (Y/N),Unaccept,Skips,Annotator,Proposed Changes
EXP1,all hell broke loose,"When the demons were unleashed from the underworld, all hell broke loose on Earth.",Y,,,MM,
EXP2,all hell broke loose,"After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.",Y,,,MM,
EXP3,all hell broke loose,"The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.",Y,,,MM,
EXP7,off the hook,The fish wriggled and managed to get itself off the hook.,Y,,,MM,
EXP8,off the hook,She carefully took the ornament off the hook to avoid breaking it.,Y,,,MM,
EXP9,off the hook,The coat fell off the hook and onto the floor.,Y,,,MM,
EXP10,against the grain,Carpenters recommend not to sand against the grain as it can damage the wood.,Y,,,MM,
EXP12,against the grain,"She sliced the loaf of bread against the grain, making the pieces uneven.",Y,,,MM,
EXP13,play with fire,"Despite the danger, he decided to play with fire, poking the embers with a stick.",Y,,,MM,
EXP14,play with fire,The children were strictly forbidden to play with fire while camping.,Y,,,MM,
EXP15,play with fire,"As a fire performer, she had learned how to safely play with fire.",Y,,,MM,
EXP19,make a killing,The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.,Y,,,MM,
EXP20,make a killing,"In the wild, the lion had to make a killing to feed his family.",Y,,,MM,
EXP21,make a killing,The detective found evidence suggesting that the suspect planned to make a killing.,Y,,,MM,
EXP22,carry the can,John had to carry the can of paint up the ladder to finish the mural.,Y,,,MM,
EXP23,carry the can,"While camping, she was assigned to carry the can of beans to the picnic table.",Y,,,MM,
EXP24,carry the can,"After the party, I had to carry the can of recycling out to the curb.",Y,,,MM,
EXP25,in the doghouse,The mischievous puppy was put back in the doghouse after tearing up the garden.,Y,,,MM,
EXP26,in the doghouse,"When it started to rain heavily, the old retriever took shelter in the doghouse.",Y,,,MM,
EXP27,in the doghouse,"She placed a new, soft blanket in the doghouse for her pet's comfort.",Y,,,MM,
EXP28,on the bubble,The children were delighted when they saw the cat sitting on the bubble.,Y,,,MM,
EXP29,on the bubble,The delicate butterfly landed lightly on the bubble floating in the air.,Y,,,MM,
EXP30,on the bubble,"He carefully placed a single grain of sand on the bubble, watching as it shimmered in the sunlight.",Y,,,MM,
EXP34,behind the scenes,"During the theater tour, we were excited to step behind the scenes and see the actors preparing.",Y,,,MM,
EXP35,behind the scenes,The film crew was busy setting up props and lighting behind the scenes.,Y,,,MM,
EXP36,behind the scenes,"As a stagehand, John spent a lot of time working behind the scenes.",Y,,,MM,
EXP46,go to the wall,"While playing hide and seek, the kids were told to close their eyes and go to the wall.",Y,,,MM,
EXP47,go to the wall,The instructor asked the yoga class to go to the wall for wall-supported poses.,Y,,,MM,
EXP48,go to the wall,The artist decided to go to the wall to add some final touches to the mural.,Y,,,MM,
EXP49,see the light of day,"After months of being bedridden, he was overjoyed to finally see the light of day again.",Y,,,MM,
EXP51,see the light of day,The miners trapped underground for three long days were immensely relieved to see the light of day after their rescue.,Y,,,MM,
EXP55,under the weather,"The picnic had to be postponed because it literally took place under the weather, which was quite stormy that day.",Y,,,MM,
EXP56,under the weather,"The campers had to quickly set up their tents, finding themselves unexpectedly under the weather, as it started raining heavily.",Y,,,MM,
EXP57,under the weather,"The hikers had to seek shelter under a large tree, as they found themselves under the weather when a sudden hailstorm hit.",Y,,,MM,
EXP61,jump through hoops,The circus dog was trained to jump through hoops during the performance.,Y,,,MM,
EXP62,jump through hoops,The gymnast had to jump through hoops as part of her routine.,Y,,,MM,
EXP63,jump through hoops,The children love to play a game where they jump through hoops in the backyard.,Y,,,MM,
EXP68,on the horn,She delicately hung the Christmas ornament on the horn of the reindeer sculpture.,Y,,,MM,
EXP69,on the horn,The little boy was delighted when his dad lifted him to sit on the horn of the saddle.,Y,Form changed,,MM,The little boy was delighted when his dad lifted him to sit on the horn.
EXP71,to the bone,"After the accident, the surgeon had to repair the damage to the bone.",Y,,,MM,
EXP72,to the bone,The dog happily gnawed on the steak bone until it was clean to the bone.,Y,,,MM,
EXP91,push the envelope,"During the art project, the teacher instructed the kids to literally push the envelope across the table to their classmates.",Y,,,MM,
EXP92,push the envelope,"In the mail sorting facility, the workers were asked to push the envelope towards the conveyor belt.",Y,,,MM,
EXP93,push the envelope,"When the game required moving objects without using hands, Lisa used her nose to push the envelope.",Y,,,MM,
EXP98,look on the bright side,"During the blackout, they had to look on the bright side of the street to avoid stumbling on the pavement.",Y,,,MM,
EXP99,look on the bright side,"To take a better photograph, the photographer decided to look on the bright side of the landscape.",Y,,,MM,
EXP100,up to here,The water in the bathtub was filled up to here.,Y,,,MM,
EXP101,up to here,She stacked the books up to here on the shelf.,Y,,,MM,
EXP102,up to here,The graph shows that the prices have risen up to here.,Y,,,MM,
EXP103,night and day,The stars shine bright during the night and day.,Y,,,MM,
EXP104,night and day,She studied night and day to prepare for her exams.,Y,,,MM,
EXP106,head for the hills,"When we saw the wildfire in the distance, we knew we had to head for the hills.",Y,,,MM,
EXP107,head for the hills,"As soon as they reached the edge of the forest, they decided to head for the hills to find a safe place to camp.",Y,,,MM,
EXP108,head for the hills,"Tired and thirsty from their journey, the explorers were relieved to finally head for the hills where they believed water sources were plentiful.",Y,,,MM,
EXP110,pass the buck,"During the charity event, they created a unique activity called 'pass the buck' where participants had to pass a dollar bill around.",Y,,,MM,
EXP111,pass the buck,"In the children's party, one of the fun games was 'pass the buck' where kids had to pass a toy buck from one to another in a race against time.",Y,,,MM,
EXP115,rise from the ashes,"After the forest fire, new sprouts started to rise from the ashes, signaling the rebirth of nature.",Y,,,MM,
EXP116,rise from the ashes,"Documenting the volcanic eruption, scientists examined how life could rise from the ashes in such a hostile environment.",Y,,,MM,
EXP117,rise from the ashes,"In the aftermath of the house fire, amidst the grey landscape, a lone flower managed to rise from the ashes.",Y,,,MM,
EXP121,meat and potatoes,"For dinner, we had a hearty meal of meat and potatoes.",Y,,,MM,
EXP122,meat and potatoes,She decided to cook meat and potatoes for the family gathering.,Y,,,MM,
EXP123,meat and potatoes,The smell of freshly cooked meat and potatoes filled the kitchen.,Y,,,MM,
EXP124,in bed with,"After a long day, he found comfort in bed with a good book.",Y,,,MM,
EXP125,in bed with,"The child loved spending Sunday mornings in bed with her parents, listening to their stories.",Y,,,MM,
EXP126,in bed with,"She spent the entire day in bed with a high fever, unable to get up.",Y,,,MM,
EXP130,in the pink,The flamingo stood out in the pink sunset.,Y,,,MM,
EXP131,in the pink,She looked ethereal in the pink dress she wore to the party.,Y,,,MM,
EXP132,in the pink,"In the pink light of dawn, the world took on a magical hue.",Y,,,MM,
EXP133,go to town,"Every morning, I go to town to buy fresh produce.",Y,,,MM,
EXP134,go to town,"On weekends, my family and I usually go to town to enjoy a meal at our favorite restaurant.",Y,,,MM,
EXP135,go to town,"During the festive season, people go to town to participate in the grand celebrations.",Y,,,MM,
EXP142,heart of gold,"The alchemist, after years of studying, was able to transmute a chunk of lead into a heart of gold.",Y,,,MM,
EXP143,heart of gold,"In the museum's rarest collection, there was a heart of gold, gleaming under the soft lights.",Y,,,MM,
EXP144,heart of gold,The archaeologists were astounded to discover a heart of gold amidst the ancient treasure.,Y,,,MM,
EXP145,par for the course,"In professional golf, the score of 72 is often considered par for the course.",Y,,,MM,
EXP146,par for the course,She managed to hit par for the course in yesterday's tournament.,Y,,,MM,
EXP147,par for the course,"Setting a new record, the young golfer consistently scored below par for the course.",Y,,,MM,
EXP151,out of line,"The fence was out of line with the edge of the property, causing a dispute with the neighbors.",Y,,,MM,
EXP152,out of line,"The painting hanging on the wall was obviously out of line, tilting noticeably to the right.",Y,,,MM,
EXP153,out of line,"Noticing that the text on the page was out of line, she quickly grabbed a ruler to straighten it.",Y,,,MM,
EXP160,stay the course,"Despite the harsh weather conditions, the captain decided to stay the course.",Y,,,MM,
EXP161,stay the course,The hiker was advised to stay the course and not venture off into unknown territory.,Y,,,MM,
EXP162,stay the course,"Even though he was tired, the marathon runner knew he had to stay the course if he wanted to finish the race.",Y,,,MM,
EXP164,smoke and mirrors,"During the haunted house tour, they used a combination of smoke and mirrors to create spine chilling effects.",Y,,,MM,
EXP165,smoke and mirrors,"The art installation was an interesting display of smoke and mirrors, creating alluring light patterns.",Y,,,MM,
EXP169,get to the bottom of,The divers had to swim deeper to get to the bottom of the ocean.,Y,,,MM,
