idiom
acid test
add fuel to the fire
against the grain
all over the place
apples and oranges
behind someone's back
below the belt
big fish
blind alley
blue blood
brass ring
busy bee
cap in hand
carry the can
circle the wagons
closed book
crash and burn
cut and dried
cut and thrust
cut the mustard
cutting edge
damp squib
dig up dirt
don't hold your breath
double dutch
down the drain
draw a line in the sand
eat someone alive
fashion plate
fill someone's shoes
for a song
force someone's hand
get off the ground
get stuck in
glass ceiling
go for the jugular
go the extra mile
go to the wall
grass root
grease the wheels
grind to a halt
heavy cross
hit the bottle
hot potato
in a nutshell
in black and white
in someone's pocket
in the bag
in the driver's seat
in the driving seat
in the hole
in the offing
in the soup
joined at the hip
keep a lid on
kick the bucket
low profile
make a meal of
make a move
make a splash
meat and potatoes
melting pot
nuts and bolts
on a shoestring
on the back of
on the ball
on the cards
on the horn
on the rocks
on the ropes
on the wagon
on thin ice
open the floodgates
out of order
out of the box
peaches and cream
poison pill
pour cold water on
put down roots
put the boot in
raise the roof
rat run
ring a bell
rise and shine
rough around the edges
run a mile
separate the wheat from the chaff
silver bullet
smoke screen
smoking gun
song and dance
spit it out
take a dive
take a hike
take the cake
take the fall
to die for
to the hilt
to the tune of
toe the line
touch and go
under a cloud
under the microscope
under the sun
under the table
under the wire
up a tree
up in the air
up to speed
walk the plank
