idiom,sentence
all hell broke loose,i
all hell broke loose,"The expression 'all hell broke loose' is used figuratively in the sentence: 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control.'. 

Answer: 'i'"
all hell broke loose,"The expression 'all hell broke loose' is used figuratively in the sentence: 'We knew the German signals for the night , so we tricked them into holding fire until we were about a mile out, then all hell broke loose.' 
Answer: 'i'"
off the hook,"The expression 'off the hook' is used figuratively in the sentence: 'The Spectator gets its readers off the hook by a return to Malthus, who made a virtue of not helping the poor, as then, he informed us, they would drag us down by overbreeding.'"
off the hook,The expression 'off the hook' is used figuratively in the sentence: 'He was off the hook.' The correct answer is 'i'.
off the hook,'l'
against the grain,'i'
against the grain,'l'
play with fire,"The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.'."
play with fire,'l'
play with fire,i
make a killing,"The expression 'make a killing' is used figuratively in the sentence: 'Gardening columns in the Sunday newspapers were full of it, magazines and television programmes gave advice and encouragement and the garden centres made a killing on weedkiller sales.'. 

So the answer is 'i'."
make a killing,i
make a killing,i
carry the can,i
carry the can,i
carry the can,"The expression 'carry the can' is used figuratively in the sentence: 'It not take him long to realize that if the police wanted someone to carry the can, then Dirk Coetzee was heading for death row.'. So the answer is: 'i'."
in the doghouse,i
in the doghouse,'i'
in the doghouse,'i'
behind the scenes,i
behind the scenes,'l'
behind the scenes,i
go to the wall,i
go to the wall,i
go to the wall,'i'
see the light of day,"The expression 'see the light of day' in the sentence 'Both are out of print and according to his publisher (the wacky John Muir of Todmorden) are unlikely ever to see the light of day again.' is used figuratively.

The correct answer is 'i'."
see the light of day,"The expression 'see the light of day' is used figuratively in the sentence: 'Sadly, for it was a lively, largely autobiographical piece, it would never see the light of day.'. 

So, the answer is 'i' for figurative."
under the weather,'i'
under the weather,"The expression 'under the weather' is used figuratively in the sentence: '‘I 'm terribly sorry, Miss Walkinshaw, but I seem to be a trifle under the weather this afternoon.'. 

Answer: 'i'"
under the weather,"The expression 'under the weather' occurs figuratively in the sentence: 'In fact , she was still sufficiently under the weather the following week to have to pull out of England 's Intermediate Championship which was won , at Warrington , by Lora Fairclough .' So, the answer is 'i' for figurative."
jump through hoops,The expression 'jump through hoops' is used figuratively in the sentence: 'He was the man she wanted to be with for the rest of her life and she was willing to jump through any hoop and over any hurdle to win him.'. The correct answer is 'i'.
jump through hoops,"The expression 'jumps through hoops' occurs figuratively in the sentence: 'Jumps through hoops.'. Therefore, the answer is 'i'."
jump through hoops,i
on the horn,"The expression 'on the horn' is used figuratively in the sentence: 'The profession 's eagerness for scientific advance had impaled it on the horns of a dilemma, forcing an unnatural choice between science and morality.'. 

Answer: 'i' for figurative."
on the horn,i
