,Idiom,Sentence
0,all hell broke loose,Then all hell broke loose .
1,all hell broke loose,Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control .
2,all hell broke loose,"We knew the German signals for the night , so we tricked them into holding fire until we were about a mile out , then all hell broke loose ."
3,off the hook,"The Spectator gets its readers off the hook by a return to Malthus , who made a virtue of not helping the poor , as then , he informed us , they would drag us down by overbreeding ."
4,off the hook,He was off the hook .
5,off the hook,I must have left it off the hook this morning .
6,against the grain,"Out of duty she had caved in , but it still went against the grain ."
7,against the grain,Every erm pitchfork must come out one You ca n't start fighting and and pulling it against the grain otherwise you you would be in trouble .
8,play with fire,"The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves ."
9,play with fire,"The stunts became more daring and , in one episode , Crawford found himself literally playing with fire , when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding ."
10,play with fire,"Ladies and gentlemen , please ask the people in your constituencies whether they want us to play with fire in this way ."
11,make a killing,"Gardening columns in the Sunday newspapers were full of it , magazines and television programmes gave advice and encouragement and the garden centres made a killing on weedkiller sales ."
12,make a killing,"One of the psychologists , who moved into the salesman 's world like witch doctors and made a killing , was Dr Ernest Dichter from Freud 's own city of Vienna , the ‘ father’ of Motivational Research , whose institute could be hired to help sell anything for $ 500 a day ."
13,make a killing,"Mr Steinkühler , a member of Daimler - Benz 's supervisory board , made a killing by buying shares of Mercedes Holding shortly before they were exchanged for shares in Daimler - Benz ."
14,carry the can,In Tory demonology they will always carry the can.’
15,carry the can,It is the racing industry 's ‘ generals’ who must carry the can .
16,carry the can,"It not take him long to realize that if the police wanted someone to carry the can , then Dirk Coetzee was heading for death row ."
17,in the doghouse,"Likewise the best time to buy a share is when it is in the doghouse with everyone saying ‘ sell , sell sell.’"
18,in the doghouse,"‘ Who 's in the doghouse , then?’ asked Zach ."
19,in the doghouse,"That 's you in the doghouse now , ."
20,behind the scenes,"Behind the scenes the ' gals ' whose fate will be determined by a male judging panel banter and bicker , in various states of undress , unaware that one of their number is a man with a mission to woo an unrequited love who works in the same supermarket and has also entered the contest ."
21,behind the scenes,"Often groups can be given a "" familiarisation visit "" , going behind the scenes in the archives to learn about the range of documents and the methods of preserving and caring for them ."
22,behind the scenes,"Instead of his usual behind the scenes stage management of pawns and other pieces , he was confronted by an array of unpredictable variables ."
23,go to the wall,"The number of businesses going to the wall was 21pc higher than the previous quarter and 20pc up on the same period a year ago , underlining the renewed strength of recession since the spring ."
24,go to the wall,The trades unionist suspects that in competitive capitalism the weak go to the wall .
25,go to the wall,"quite right , the statistics he was actually talking about , and somebody actually pulled him up on th , up on this and said , okay you 're talking about the number of firms who went to the wall , but what about new firms being created ?"
26,see the light of day,Both are out of print and according to his publisher ( the wacky John Muir of Todmorden ) are unlikely ever to see the light of day again .
27,see the light of day,"Sadly , for it was a lively , largely autobiographical piece , it would never see the light of day ."
28,under the weather,And she said Alec was at the doctors cos he was feeling under the weather .
29,under the weather,"‘ I 'm terribly sorry , Miss Walkinshaw , but I seem to be a trifle under the weather this afternoon ."
30,under the weather,"In fact , she was still sufficiently under the weather the following week to have to pull out of England 's Intermediate Championship which was won , at Warrington , by Lora Fairclough ."
31,jump through hoops,He was the man she wanted to be with for the rest of her life and she was willing to jump through any hoop and over any hurdle to win him .
32,jump through hoops,Jumps through hoops .
33,jump through hoops,"In principle , one can create a “ cap - and - trade ” system of quantitative restrictions that accomplishes much the same thing – and this seems to be more palatable to politicians , who will jump through hoops to avoid using the word “ tax . ”"
34,on the horn,"The profession 's eagerness for scientific advance had impaled it on the horns of a dilemma , forcing an unnatural choice between science and morality ."
35,on the horn,"Beeby , get the Guinness Book of Records on the horn ."
36,to the bone,"It had been in his eyes when he lay on the bed staring rigidly at the ceiling , a terrifying , heart - rending pain that cut her to the bone ."
37,to the bone,We are cut right to the bone.’
38,push the envelope,3 ) Pushing the envelope .
39,push the envelope,"You 're sweating and nervous and you know you 're out on a limb here , you 're in the process of taking some terrible risks and the luck , the flow that comes from being justified and in tune and not taking too much for granted , not being contemptuous or disrespectful of fate ; all that 's in danger here because you 're pushing the envelope , you 're maybe relying on one or two too many things going perfectly ."
40,look on the bright side,JAMIE REDKNAPP last night looked on the bright side of Liverpool 's worst start to a season since 1954 .
41,look on the bright side,"And Lesley will enjoy your company so much , ' he added , and the sudden faint note of hope and warmth sounded almost as though he was issuing comfort to himself , looking on the single bright side ."
