Word,GPT_Fam_dominant,GPT_Fam_probs,Multilex_Zipf,Type,Subtype_MWE
0,7,6.99,4.53,W,
0.375,7,6.26,NA,W,
0.99,7,6.91,NA,W,
1,7,6.99,5.32,W,
2,7,7.00,5.21,W,
2.5,7,6.23,NA,W,
2.71,6,5.56,NA,W,
3,7,7.00,5.12,W,
3.6,5,3.62,NA,W,
4,7,7.00,4.92,W,
5,7,7.00,5.03,W,
6,7,7.00,4.82,W,
7,7,7.00,4.79,W,
8,7,7.00,4.71,W,
8.6999999999999993,5,3.64,NA,W,
9,7,7.00,4.65,W,
10,7,7.00,5.19,W,
11,7,7.00,4.62,W,
12,7,7.00,4.87,W,
13,7,7.00,4.50,W,
14,7,7.00,4.52,W,
15,7,7.00,4.93,W,
16,7,6.98,4.55,W,
17,7,7.00,4.46,W,
18,7,6.99,4.59,W,
19,7,6.98,4.30,W,
20,7,7.00,5.14,W,
21,7,6.98,4.31,W,
22,7,6.91,4.30,W,
23,7,6.98,4.25,W,
24,7,6.99,4.62,W,
25,7,7.00,4.62,W,
26,7,6.96,4.06,W,
27,7,6.99,4.08,W,
28,7,6.97,4.07,W,
29,7,6.99,3.91,W,
30,7,6.99,4.95,W,
31,7,6.90,3.92,W,
32,7,6.98,4.01,W,
33,7,7.00,3.90,W,
35,7,7.00,4.24,W,
36,7,6.99,3.99,W,
37,7,6.96,3.83,W,
39,7,6.95,3.70,W,
40,7,7.00,4.71,W,
42,7,6.95,3.89,W,
44,7,6.97,3.70,W,
45,7,6.99,4.26,W,
46,7,6.95,3.64,W,
47,7,6.94,3.86,W,
50,7,7.00,4.91,W,
51,7,6.98,3.80,W,
52,7,6.97,3.74,W,
53,7,6.96,3.53,W,
54,7,6.96,3.59,W,
55,7,6.98,3.83,W,
57,7,6.99,3.51,W,
58,7,6.99,3.50,W,
60,7,6.99,4.47,W,
61,7,6.84,3.47,W,
63,7,6.89,3.52,W,
64,7,6.97,3.56,W,
65,7,6.97,3.86,W,
66,7,6.93,3.65,W,
70,7,7.00,4.22,W,
73,7,6.83,3.39,W,
74,7,6.98,3.33,W,
75,7,6.99,3.99,W,
77,7,6.97,3.38,W,
78,7,7.00,3.46,W,
80,7,7.00,4.31,W,
84,7,6.97,3.44,W,
85,7,6.92,3.69,W,
86,7,6.64,3.53,W,
87,7,7.00,3.44,W,
88,7,6.86,3.48,W,
90,7,6.97,4.29,W,
91,7,6.99,3.52,W,
92,7,6.90,3.47,W,
93,7,6.98,3.43,W,
93.75,5,4.91,NA,W,
95,7,6.99,3.72,W,
97,7,6.99,3.48,W,
98,7,6.95,3.57,W,
98.25,6,5.41,NA,W,
98.6,6,5.77,NA,W,
99,7,6.98,3.93,W,
100,7,7.00,4.91,W,
101,7,6.60,3.59,W,
102,7,6.77,3.18,W,
104,7,6.61,3.10,W,
107,7,6.72,2.95,W,
110,7,6.71,3.62,W,
120,7,6.99,3.81,W,
123,7,6.98,2.98,W,
125,7,6.92,3.38,W,
127,7,6.79,2.83,W,
130,7,6.63,3.63,W,
132,6,6.11,2.78,W,
147,7,5.61,2.79,W,
150,7,6.99,4.10,W,
151,6,6.05,2.64,W,
156,7,6.07,2.80,W,
165,7,6.40,2.93,W,
170,7,6.65,3.33,W,
174,4,3.58,2.76,W,
180,7,6.83,3.63,W,
184,4,4.36,2.53,W,
189,5,5.02,2.44,W,
200,7,6.99,4.64,W,
203,7,5.84,2.89,W,
206,5,4.74,3.03,W,
250,7,6.94,3.89,W,
258,5,4.32,2.59,W,
271,5,4.03,2.58,W,
279,6,5.33,2.15,W,
288,5,4.28,2.27,W,
299,7,6.23,2.48,W,
300,7,6.97,4.54,W,
302,5,5.59,2.90,W,
303,5,4.82,2.72,W,
304,4,3.87,2.58,W,
305,5,4.57,2.74,W,
309,6,5.87,2.41,W,
313,4,4.24,2.50,W,
322,5,5.16,2.47,W,
329,6,5.82,2.32,W,
330,7,6.55,3.44,W,
340,7,6.71,2.92,W,
342,5,4.84,2.47,W,
364,6,6.23,2.50,W,
375,7,5.67,2.78,W,
380,6,5.71,2.85,W,
400,7,6.94,4.35,W,
401,5,4.87,2.68,W,
444,6,5.65,2.39,W,
499,7,6.08,2.34,W,
500,7,6.95,4.60,W,
540,7,6.73,2.87,W,
575,4,4.69,2.33,W,
600,7,6.97,4.28,W,
