literal_correct,figurative_correct,both_correct
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,False,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,False,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,False,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,False,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
