,Idiom,Sentence
0,all hell broke loose,"When the demons were unleashed from the underworld, all hell broke loose on Earth."
1,all hell broke loose,"After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world."
2,all hell broke loose,"The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom."
3,off the hook,The fish wriggled and managed to get itself off the hook.
4,off the hook,She carefully took the ornament off the hook to avoid breaking it.
5,off the hook,The coat fell off the hook and onto the floor.
6,against the grain,Carpenters recommend not to sand against the grain as it can damage the wood.
7,against the grain,"She sliced the loaf of bread against the grain, making the pieces uneven."
8,play with fire,"Despite the danger, he decided to play with fire, poking the embers with a stick."
9,play with fire,The children were strictly forbidden to play with fire while camping.
10,play with fire,"As a fire performer, she had learned how to safely play with fire."
11,make a killing,The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.
12,make a killing,"In the wild, the lion had to make a killing to feed his family."
13,make a killing,The detective found evidence suggesting that the suspect planned to make a killing.
14,carry the can,John had to carry the can of paint up the ladder to finish the mural.
15,carry the can,"While camping, she was assigned to carry the can of beans to the picnic table."
16,carry the can,"After the party, I had to carry the can of recycling out to the curb."
17,in the doghouse,The mischievous puppy was put back in the doghouse after tearing up the garden.
18,in the doghouse,"When it started to rain heavily, the old retriever took shelter in the doghouse."
19,in the doghouse,"She placed a new, soft blanket in the doghouse for her pet's comfort."
20,behind the scenes,"During the theater tour, we were excited to step behind the scenes and see the actors preparing."
21,behind the scenes,The film crew was busy setting up props and lighting behind the scenes.
22,behind the scenes,"As a stagehand, John spent a lot of time working behind the scenes."
23,go to the wall,"While playing hide and seek, the kids were told to close their eyes and go to the wall."
24,go to the wall,The instructor asked the yoga class to go to the wall for wall-supported poses.
25,go to the wall,The artist decided to go to the wall to add some final touches to the mural.
26,see the light of day,"After months of being bedridden, he was overjoyed to finally see the light of day again."
27,see the light of day,The miners trapped underground for three long days were immensely relieved to see the light of day after their rescue.
