idiom,sentence
all hell broke loose,"

output: i"
all hell broke loose,"

i"
all hell broke loose,"

output: i"
off the hook,"

output: i"
off the hook,"

output: i"
off the hook,"

output: i"
against the grain,"

i"
against the grain,"

i"
play with fire,"

i"
play with fire,"

l"
play with fire,"

i"
make a killing,"

i"
make a killing,"

output: i"
make a killing,"

i"
carry the can,"

i"
carry the can,"

output: i"
carry the can,"

i"
in the doghouse,"

output: i"
in the doghouse,"

i"
in the doghouse,"

output: i"
behind the scenes,"

i"
behind the scenes,"

i"
behind the scenes,"

output: i"
go to the wall,"

i"
go to the wall,"

output: i"
go to the wall,"

output: i"
see the light of day,"

i"
see the light of day,"

i"
under the weather,"

i"
under the weather,"

i"
under the weather,"

i"
jump through hoops,"

i"
jump through hoops,"

output: i"
jump through hoops,"

i"
on the horn,"

output: i"
on the horn,"

output: i"
to the bone,"

i"
to the bone,"

i"
push the envelope,"

output: i"
push the envelope,"

output: i"
look on the bright side,"

i"
look on the bright side,"

i"
up to here,"

output: i"
up to here,"

output: i"
up to here,"

i"
night and day,"

i"
night and day,"

output: i"
head for the hills,"

l"
head for the hills,"

i"
head for the hills,"

output: i"
pass the buck,"

output: i"
pass the buck,"

output: i"
rise from the ashes,"

i"
rise from the ashes,"

i"
rise from the ashes,"

output: i"
meat and potatoes,"

output: i"
meat and potatoes,"

output: i"
meat and potatoes,"

output: i"
in bed with,"

i"
in bed with,"

output: i"
in bed with,"

i"
in the pink,"

Output: i"
in the pink,"

output: i"
in the pink,"

output: i"
go to town,"

output: i"
go to town,"

output: i"
go to town,"

output: i"
heart of gold,"

output: i"
heart of gold,"

i"
heart of gold,"

output: i"
par for the course,"

i"
par for the course,"

output: i"
par for the course,"

i"
out of line,"

output: i"
out of line,"

i"
out of line,"

output: i"
stay the course,"

i"
stay the course,"

output: i"
stay the course,"

i"
smoke and mirrors,"

output: i"
smoke and mirrors,"

i"
get to the bottom of,"

i"
get to the bottom of,"

i"
get to the bottom of,"

output: i"
by the book,"

i"
by the book,"

output: i"
in your face,"

i"
in your face,"

i"
in your face,"

i"
in the black,"

output: i"
in the black,"

Output: i"
in the black,"

i"
hit the nail on the head,"

i"
hit the nail on the head,"

i"
in the driving seat,"

i"
in the driving seat,"

i"
in the driving seat,"

output: i"
join the club,"

output: i"
join the club,"

output: i"
join the club,"

Output: i"
walk the plank,"

i"
walk the plank,"

i"
eat humble pie,"

i"
eat humble pie,"

i"
eat humble pie,"

i"
up the river,"

i"
up the river,"

output: i"
up the river,"

output: i"
circle the wagons,"

output: i"
look the part,"

i"
look the part,"

output: i"
look the part,"

i"
moment of truth,"

i"
all bets are off,"

i"
all bets are off,"

i"
knock someone's socks off,"

i"
on the side of the angels,"

i"
on the side of the angels,"

i"
on the side of the angels,"

output: i"
jump on the bandwagon,"

output: i"
jump on the bandwagon,"

i"
jump on the bandwagon,"

output: i"
turn the other cheek,"

i"
raise the roof,"

output: i"
raise the roof,"

i"
raise the roof,"

i"
do the right thing,"

Output: i"
do the right thing,"

i"
do the right thing,"

i"
on the square,"

output: i"
on the square,"

output: i"
on the square,"

output: l"
pick up the pieces,"

i"
pick up the pieces,"

l"
pick up the pieces,"

i"
touch and go,"

i"
off and running,"

output: i"
off and running,"

i"
off and running,"

output: i"
horses for courses,"

i"
horses for courses,"

output: i"
horses for courses,"

output: i"
wipe the slate clean,"

i"
wipe the slate clean,"

i"
wipe the slate clean,"

output: i"
hit the jackpot,"

output: i"
hit the jackpot,"

output: i"
hit the jackpot,"

output: i"
round the bend,"

output: i"
round the bend,"

i"
round the bend,"

i"
go for the jugular,"

i"
go for the jugular,"

i"
go for the jugular,"

i"
nip and tuck,"

i"
nip and tuck,"

i"
nip and tuck,"

output: i"
throw the baby out with the bathwater,"

i"
throw the baby out with the bathwater,"

output: i"
out of order,"

output: i"
out of order,"

output: i"
out of order,"

output: i"
muddy the waters,"

output: i"
muddy the waters,"

output: i"
muddy the waters,"

output: i"
move the goalposts,"

output: i"
move the goalposts,"

output: i"
move the goalposts,"

output: i"
hair of the dog,"

i"
hair of the dog,"

output: i"
hair of the dog,"

i"
have someone's number,"

output: i"
neither here nor there,"

i"
neither here nor there,"

output: i"
neither here nor there,"

i"
out of the woods,"

output: i"
out of the woods,"

i"
out of the woods,"

i"
sit on the fence,"

output: i"
sit on the fence,"

i"
sit on the fence,"

i"
keep the peace,"

output: i"
keep the peace,"

output: i"
six feet under,"

i"
six feet under,"

i"
six feet under,"

i"
dead and buried,"

i"
dead and buried,"

i"
dead and buried,"

output: i"
down in the dumps,"

i"
down in the dumps,"

i"
down in the dumps,"

output: i"
know the score,"

output: i"
know the score,"

output: i"
know the score,"

i"
oil and water,"

i"
oil and water,"

output: i"
oil and water,"

i"
add fuel to the fire,"

i"
add fuel to the fire,"

output: i"
add fuel to the fire,"

output: i"
power behind the throne,"

i"
power behind the throne,"

output: i"
power behind the throne,"

output: i"
blood and guts,"

output: i"
blood and guts,"

output: i"
blood and guts,"

i"
strike while the iron is hot,"

i"
strike while the iron is hot,"

i"
on the hop,"

output: i"
on the hop,"

output: i"
on the hop,"

i"
all over the map,"

output: i"
all over the map,"

output: i"
all over the map,"

i"
let the cat out of the bag,"

i"
let the cat out of the bag,"

i"
let the cat out of the bag,"

i"
blaze a trail,"

i"
blaze a trail,"

i"
blaze a trail,"

i"
on the bounce,"

i"
on the bounce,"

i"
on the bounce,"

i"
at a canter,"

output: i"
at a canter,"

i"
at a canter,"

output: l"
out to lunch,"

Output: i"
out to lunch,"

i"
out to lunch,"

output: i"
twist someone's arm,"

output: i"
twist someone's arm,"

output: i"
twist someone's arm,"

output: i"
swings and roundabouts,"

i"
swings and roundabouts,"

i"
swings and roundabouts,"

i"
on the ball,"

i"
on the ball,"

i"
rob Peter to pay Paul,"

output: i"
rob Peter to pay Paul,"

i"
rob Peter to pay Paul,"

i"
ring a bell,"

output: i"
ring a bell,"

output: i"
ring a bell,"

i"
to die for,"

i"
to die for,"

i"
to die for,"

output: i"
everything but the kitchen sink,"

output: i"
spend a penny,"

i"
spend a penny,"

output: i"
spend a penny,"

output: i"
in black and white,"

i"
in black and white,"

i"
in black and white,"

i"
doom and gloom,"

i"
doom and gloom,"

i"
doom and gloom,"

i"
keep tabs on,"

output: i"
keep tabs on,"

i"
keep tabs on,"

i"
get the picture,"

output: i"
get the picture,"

output: i"
get the picture,"

output: i"
look the other way,"

i"
look the other way,"

i"
look the other way,"

output: i"
burst someone's bubble,"

output: i"
burst someone's bubble,"

i"
burst someone's bubble,"

i"
fall in line,"

output: i"
fall in line,"

i"
fall in line,"

output: l"
water under the bridge,"

i"
water under the bridge,"

i"
water under the bridge,"

i"
keep a lid on,"

i"
keep a lid on,"

i"
keep a lid on,"

i"
down the drain,"

i"
down the drain,"

output: i"
down the drain,"

output: i"
make the cut,"

i"
make the cut,"

output: i"
make the cut,"

output: i"
free and easy,"

output: i"
free and easy,"

i"
free and easy,"

output: i"
with a vengeance,"

i"
cut both ways,"

i"
cut both ways,"

i"
cut both ways,"

output: i"
sing the praises of,"

i"
sing the praises of,"

output: i"
sing the praises of,"

output: i"
hold the line,"

output: i"
pull the plug,"

output: i"
pull the plug,"

output: i"
pull the plug,"

output: i"
make a move,"

output: i"
make a move,"

output: i"
make a move,"

i"
make a meal of,"

i"
make a meal of,"

output: i"
make a meal of,"

output: i"
the icing on the cake,"

i"
the icing on the cake,"

i"
the icing on the cake,"

i"
in the red,"

output: i"
in the red,"

output: i"
in the red,"

i"
feel the pinch,"

output: i"
feel the pinch,"

i"
feel the pinch,"

output: i"
under the microscope,"

output: i"
under the microscope,"

i"
under the microscope,"

i"
pay the piper,"

output: i"
pay the piper,"

output: i"
pay the piper,"

output: i"
on the trot,"

output: i"
on the trot,"

i"
on the trot,"

output: i"
peaches and cream,"

i"
peaches and cream,"

output: l"
toe the line,"

output: i"
toe the line,"

output: i"
grasp the nettle,"

output: i"
grasp the nettle,"

output: i"
grasp the nettle,"

i"
high and mighty,"

i"
high and mighty,"

i"
high and mighty,"

output: i"
in the hole,"

output: i"
in the hole,"

i"
in the hole,"

output: i"
take the fall,"

output: i"
take the fall,"

i"
take the fall,"

output: i"
in the offing,"

i"
in the offing,"

output: i"
in the offing,"

output: i"
ride roughshod over,"

i"
ride roughshod over,"

i"
ride roughshod over,"

i"
crash and burn,"

output: i"
crash and burn,"

i"
crash and burn,"

i"
dyed in the wool,"

output: i"
dyed in the wool,"

i"
dyed in the wool,"

i"
fight fire with fire,"

i"
fight fire with fire,"

output: i"
fight fire with fire,"

i"
all over the place,"

i"
all over the place,"

output: i"
all over the place,"

i"
grind to a halt,"

output: i"
grind to a halt,"

output: i"
grind to a halt,"

output: i"
in a nutshell,"

output: i"
in a nutshell,"

i"
rise and shine,"

i"
take a back seat,"

output: i"
take a bath,"

output: i"
take a bath,"

i"
take a bath,"

output: i"
bury the hatchet,"

output: i"
bury the hatchet,"

output: i"
in the soup,"

output: i"
in the soup,"

i"
in the soup,"

output: i"
grease the wheels,"

output: i"
grease the wheels,"

output: i"
grease the wheels,"

output: i"
apples and oranges,"

i"
apples and oranges,"

output: i"
follow in someone's footsteps,"

i"
follow in someone's footsteps,"

i"
follow in someone's footsteps,"

output: i"
under the wire,"

i"
under the wire,"

i"
under the wire,"

i"
out of the blue,"

i"
out of the blue,"

i"
out of the blue,"

i"
over the moon,"

output: i"
over the moon,"

i"
throw down the gauntlet,"

i"
throw down the gauntlet,"

i"
take the bull by the horns,"

i"
take the bull by the horns,"

i"
take the bull by the horns,"

i"
over the top,"

output: i"
over the top,"

i"
over the top,"

output: i"
sweetness and light,"

output: i"
sweetness and light,"

output: i"
behind someone's back,"

i"
behind someone's back,"

output: i"
on the ropes,"

i"
take the cake,"

i"
dig up dirt,"

i"
dig up dirt,"

output: i"
dig up dirt,"

i"
left and right,"

i"
dead in the water,"

i"
dead in the water,"

i"
dead in the water,"

output: i"
take no prisoners,"

output: i"
run out of steam,"

i"
take a hike,"

output: i"
take a hike,"

output: i"
take a hike,"

output: i"
go the extra mile,"

i"
under a cloud,"

output: i"
under a cloud,"

output: i"
under a cloud,"

i"
in someone's pocket,"

i"
in someone's pocket,"

i"
in someone's pocket,"

output: i"
on the shelf,"

output: i"
on the shelf,"

i"
on the shelf,"

i"
pound the pavement,"

output: l"
cut and thrust,"

output: i"
cut and thrust,"

output: i"
song and dance,"

output: i"
song and dance,"

output: i"
song and dance,"

i"
turn the tables,"

output: i"
turn the tables,"

output: i"
over the hill,"

i"
over the hill,"

output: i"
over the hill,"

i"
out of the loop,"

i"
drop the ball,"

output: i"
the buck stops here,"

i"
the buck stops here,"

output: i"
the buck stops here,"

i"
on the rocks,"

output: i"
on the rocks,"

i"
on the rocks,"

output: i"
break someone's heart,"

i"
break someone's heart,"

i"
break someone's heart,"

i"
steal someone's thunder,"

i"
slap on the wrist,"

output: i"
slap on the wrist,"

i"
on the make,"

i"
on the make,"

output: i"
on the make,"

i"
things that go bump in the night,"

output: i"
push the boat out,"

output: i"
push the boat out,"

i"
push the boat out,"

i"
smell a rat,"

output: i"
smell a rat,"

output: i"
smell a rat,"

output: i"
shoot the messenger,"

output: i"
shoot the messenger,"

output: i"
shoot the messenger,"

i"
wake up and smell the coffee,"

output: i"
fun and games,"

i"
fun and games,"

output: i"
fun and games,"

i"
cast the first stone,"

i"
cast the first stone,"

i"
kick the bucket,"

output: i"
kick the bucket,"

i"
kick the bucket,"

output: i"
fly a kite,"

output: i"
fly a kite,"

output: i"
fly a kite,"

output: i"
in the clear,"

i"
in the clear,"

i"
have a few,"

output: i"
have a few,"

i"
have a few,"

output: i"
to the hilt,"

output: i"
to the hilt,"

output: i"
to the hilt,"

output: i"
open the floodgates,"

i"
open the floodgates,"

i"
open the floodgates,"

i"
throw the book at,"

i"
throw the book at,"

i"
throw the book at,"

output: i"
when the chips are down,"

i"
when the chips are down,"

i"
between a rock and a hard place,"

output: i"
between a rock and a hard place,"

i"
put down roots,"

output: i"
put down roots,"

i"
in your dreams,"

output: i"
in your dreams,"

i"
short and sweet,"

i"
cut and dried,"

output: i"
cut and dried,"

output: i"
cut and dried,"

output: i"
six of the best,"

output: i"
six of the best,"

output: i"
six of the best,"

output: i"
behind closed doors,"

output: i"
behind closed doors,"

i"
behind closed doors,"

i"
clear the decks,"

i"
clear the decks,"

output: i"
clear the decks,"

i"
on the game,"

i"
on the game,"

output: i"
on the game,"

Output: i"
with open arms,"

i"
with open arms,"

i"
flash in the pan,"

output: i"
flash in the pan,"

output: i"
flash in the pan,"

output: i"
rough around the edges,"

i"
rough around the edges,"

i"
fly off the handle,"

i"
fly off the handle,"

i"
see the light,"

output: i"
see the light,"

output: i"
see the light,"

output: i"
pour cold water on,"

i"
pour cold water on,"

output: i"
pour cold water on,"

i"
fire in the belly,"

output: i"
get a grip,"

output: i"
get a grip,"

output: i"
get a grip,"

output: i"
in the loop,"

output: i"
in the loop,"

i"
in the loop,"

output: l"
fly in the face of,"

output: i"
fly in the face of,"

output: i"
get the boot,"

Output: i"
get the boot,"

output: i"
on and off,"

i"
on and off,"

i"
on and off,"

output: i"
cook the books,"

output: i"
cook the books,"

output: i"
cook the books,"

output: i"
on the same page,"

i"
on the same page,"

output: i"
run a mile,"

output: i"
run a mile,"

output: i"
run a mile,"

output: i"
on thin ice,"

i"
on thin ice,"

i"
close to home,"

output: i"
close to home,"

output: i"
close to home,"

output: i"
in the bag,"

i"
in the bag,"

output: i"
in the raw,"

i"
in the raw,"

output: i"
cut the mustard,"

output: i"
force someone's hand,"

i"
force someone's hand,"

i"
in the final analysis,"

i"
in the final analysis,"

i"
in the final analysis,"

i"
up in the air,"

i"
up in the air,"

output: i"
fall from grace,"

output: i"
fall from grace,"

output: i"
fall from grace,"

output: i"
full of beans,"

output: i"
full of beans,"

i"
full of beans,"

i"
press the panic button,"

output: l"
press the panic button,"

i"
press the panic button,"

i"
have a heart,"

i"
have a heart,"

output: i"
have a heart,"

i"
on the fly,"

l"
on the fly,"

output: i"
get stuck in,"

i"
get stuck in,"

I cannot create explicit content. Is there a different context you'd like me to assist you with?"
get stuck in,"

output: i"
out of the box,"

i"
out of the box,"

i"
out of the box,"

output: i"
on the warpath,"

output: i"
on the warpath,"

i"
on the warpath,"

output: i"
take a dive,"

output: i"
take a dive,"

output: i"
take a dive,"

i"
scratch the surface,"

output: i"
scratch the surface,"

output: i"
scratch the surface,"

output: i"
hammer and tongs,"

i"
hammer and tongs,"

output: i"
hammer and tongs,"

i"
make a clean break,"

output: i"
make a clean break,"

i"
make a clean break,"

i"
at sixes and sevens,"

output: i"
nuts and bolts,"

output: i"
nuts and bolts,"

output: i"
nuts and bolts,"

output: i"
the ball is in someone's court,"

output: i"
the ball is in someone's court,"

output: i"
get a life,"

output: i"
get a life,"

output: i"
get a life,"

output: i"
on the nose,"

output: i"
on the nose,"

i"
on the nose,"

i"
on a shoestring,"

i"
in the driver's seat,"

i"
in the driver's seat,"

output: i"
wet behind the ears,"

output: i"
wet behind the ears,"

output: i"
wet behind the ears,"

i"
up a tree,"

i"
up a tree,"

i"
up a tree,"

i"
pick someone's brain,"

output: i"
fill someone's shoes,"

i"
save someone's skin,"

output: i"
save someone's skin,"

output: i"
walk all over,"

output: i"
walk all over,"

output: i"
walk all over,"

output: i"
hot and heavy,"

i"
hot and heavy,"

i"
hot and heavy,"

i"
strike a chord,"

output: i"
strike a chord,"

i"
strike a chord,"

i"
batten down the hatches,"

output: i"
batten down the hatches,"

i"
batten down the hatches,"

i"
cap in hand,"

output: i"
cap in hand,"

i"
cap in hand,"

output: i"
kicking and screaming,"

i"
kicking and screaming,"

output: i"
kicking and screaming,"

output: i"
sick and tired,"

output: i"
sick and tired,"

i"
on the cards,"

i"
on the cards,"

i"
face the music,"

i"
face the music,"

output: i"
come in from the cold,"

output: i"
come in from the cold,"

Output: i"
come in from the cold,"

i"
head over heels,"

i"
head over heels,"

i"
head over heels,"

i"
reach for the stars,"

i"
for a song,"

i"
for a song,"

output: i"
for a song,"

i"
down the tubes,"

output: i"
down the tubes,"

output: i"
down the tubes,"

output: i"
no strings attached,"

output: i"
no strings attached,"

output: i"
no strings attached,"

i"
spit it out,"

i"
spit it out,"

output: i"
spit it out,"

i"
don't hold your breath,"

output: i"
don't hold your breath,"

i"
don't hold your breath,"

output: i"
stand up and be counted,"

i"
stand up and be counted,"

i"
far and away,"

output: i"
far and away,"

i"
far and away,"

i"
sink or swim,"

output: i"
sink or swim,"

output: i"
sink or swim,"

i"
hit the bottle,"

i"
hit the bottle,"

output: i"
hit the bottle,"

output: i"
turn over a new leaf,"

i"
turn over a new leaf,"

i"
put the boot in,"

output: i"
put the boot in,"

i"
make a splash,"

i"
make a splash,"

i"
draw a line in the sand,"

i"
push someone's buttons,"

output: i"
push someone's buttons,"

i"
separate the wheat from the chaff,"

i"
separate the wheat from the chaff,"

i"
get to grips with,"

i"
get under someone's skin,"

i"
get under someone's skin,"

output: i"
get under someone's skin,"

output: i"
up to speed,"

i"
up to speed,"

output: i"
go with the flow,"

i"
go with the flow,"

i"
rule the roost,"

output: i"
rule the roost,"

output: i"
rule the roost,"

output: i"
in the fast lane,"

output: i"
in the fast lane,"

i"
in the fast lane,"

i"
break the back of,"

output: i"
break the back of,"

i"
break the back of,"

i"
put words in someone's mouth,"

i"
put words in someone's mouth,"

output: i"
put words in someone's mouth,"

i"
shut the door on,"

i"
shut the door on,"

output: i"
shut the door on,"

i"
kiss of death,"

i"
kiss of death,"

i"
kiss of death,"

i"
on the skids,"

output: i"
on the skids,"

output: i"
on the skids,"

output: i"
light at the end of the tunnel,"

i"
light at the end of the tunnel,"

i"
light at the end of the tunnel,"

i"
on a roll,"

output: i"
on a roll,"

i"
rock the boat,"

output: i"
rock the boat,"

i"
below the belt,"

output: i"
below the belt,"

output: l"
below the belt,"

output: i"
see eye to eye,"

i"
see eye to eye,"

i"
get it up,"

output: l"
get it up,"

output: i"
get it up,"

Output: i"
get away with murder,"

i"
get away with murder,"

i"
get away with murder,"

i"
one of those things,"

i"
one of those things,"

output: i"
joined at the hip,"

i"
joined at the hip,"

i"
have a ball,"

output: i"
have a ball,"

i"
under the sun,"

i"
under the sun,"

output: i"
under the sun,"

i"
on the wagon,"

output: i"
on the wagon,"

output: i"
on the wagon,"

output: i"
call a spade a spade,"

i"
call a spade a spade,"

output: i"
call a spade a spade,"

i"
spill the beans,"

i"
spill the beans,"

i"
on the button,"

i"
on the button,"

output: i"
on the button,"

i"
black and blue,"

i"
black and blue,"

i"
black and blue,"

i"
put the cart before the horse,"

output: i"
bells and whistles,"

output: i"
bells and whistles,"

output: i"
in cold blood,"

output: i"
in cold blood,"

i"
carrot and stick,"

i"
carrot and stick,"

output: i"
down the road,"

output: i"
down the road,"

output: i"
down the road,"

Output: i"
heads will roll,"

output: i"
heads will roll,"

i"
at the end of the day,"

i"
at the end of the day,"

i"
at the end of the day,"

i"
heart and soul,"

output: i"
heart and soul,"

i"
heart and soul,"

i"
pack a punch,"

i"
pack a punch,"

output: i"
pack a punch,"

output: i"
eat someone alive,"

i"
eat someone alive,"

i"
eat someone alive,"

i"
tie the knot,"

output: i"
tie the knot,"

i"
tie the knot,"

i"
step on it,"

i"
step on it,"

output: i"
out of the picture,"

output: i"
out of the picture,"

output: i"
break the ice,"

output: i"
break the ice,"

i"
break the ice,"

i"
pop the question,"

i"
pop the question,"

i"
pop the question,"

i"
full speed ahead,"

i"
full speed ahead,"

i"
full speed ahead,"

output: l"
point the finger,"

i"
point the finger,"

output: i"
sign on the dotted line,"

i"
sign on the dotted line,"

i"
sign on the dotted line,"

i"
up the ante,"

output: i"
up the ante,"

i"
up the ante,"

output: i"
bring home the bacon,"

output: i"
bring home the bacon,"

Output: i"
bring home the bacon,"

i"
with a view to,"

i"
with a view to,"

output: i"
with a view to,"

i"
move heaven and earth,"

i"
move heaven and earth,"

i"
move heaven and earth,"

i"
across the board,"

output: l"
across the board,"

i"
tip the scales,"

i"
tip the scales,"

output: l"
face to face,"

i"
face to face,"

output: i"
face to face,"

i"
hold someone's hand,"

output: l"
hold someone's hand,"

i"
hold someone's hand,"

i"
cut from the same cloth,"

output: i"
cut from the same cloth,"

i"
cut from the same cloth,"

i"
licence to print money,"

output: i"
licence to print money,"

i"
licence to print money,"

output: i"
on the mend,"

output: i"
on the mend,"

output: i"
on the mend,"

i"
go all the way,"

i"
go all the way,"

i"
go all the way,"

output: i"
come with the territory,"

output: i"
come with the territory,"

i"
the bee's knees,"

i"
the bee's knees,"

i"
the bee's knees,"

output: i"
on the back of,"

i"
on the back of,"

i"
on the back of,"

i"
get a rise out of,"

i"
get off the ground,"

i"
get off the ground,"

i"
get off the ground,"

i"
under the table,"

i"
under the table,"

output: i"
under the table,"

output: i"
do someone proud,"

i"
do someone proud,"

i"
do someone proud,"

i"
down to the wire,"

output: i"
down to the wire,"

output: i"
down to the wire,"

output: i"
go the distance,"

output: i"
go the distance,"

output: i"
go the distance,"

output: i"
fast and furious,"

output: i"
fast and furious,"

output: i"
fast and furious,"

i"
watch this space,"

i"
watch this space,"

output: i"
set the wheels in motion,"

i"
set the wheels in motion,"

output: i"
set the wheels in motion,"

i"
to the tune of,"

i"
to the tune of,"

output: i"
to the tune of,"

i"
on the back burner,"

i"
on the back burner,"

i"
on the back burner,"

output: i"
turn the screw,"

output: i"
turn the screw,"

output: i"
turn the screw,"

output: i"
glass ceiling,"

output: i"
glass ceiling,"

output: i"
glass ceiling,"

output: i"
grass root,"

output: i"
grass root,"

output: i"
grass root,"

output: i"
head hunter,"

i"
head hunter,"

output: i"
head hunter,"

output: i"
heavy cross,"

output: i"
heavy cross,"

i"
heavy cross,"

output: i"
banana republic,"

output: i"
banana republic,"

i"
banana republic,"

i"
crocodile tear,"

output: i"
crocodile tear,"

i"
crocodile tear,"

output: i"
eager beaver,"

output: i"
eager beaver,"

i"
cutting edge,"

output: i"
cutting edge,"

output: i"
cutting edge,"

output: i"
melting pot,"

output: i"
melting pot,"

output: i"
melting pot,"

output: i"
hot potato,"

output: i"
hot potato,"

output: i"
hot potato,"

i"
monkey business,"

output: l"
monkey business,"

i"
monkey business,"

output: i"
big cheese,"

output: i"
big cheese,"

output: i"
big cheese,"

output: i"
nest egg,"

output: i"
nest egg,"

output: i"
