idiom,sentence
all hell broke loose,i
all hell broke loose,i
all hell broke loose,i
off the hook,i
off the hook,i
off the hook,i
against the grain,i
against the grain,i
play with fire,i
play with fire,l
play with fire,i
make a killing,i
make a killing,i
make a killing,i
carry the can,i
carry the can,i
carry the can,i
in the doghouse,i
in the doghouse,i
in the doghouse,i
behind the scenes,i
behind the scenes,i
behind the scenes,i
go to the wall,i
go to the wall,i
go to the wall,i
see the light of day,i
see the light of day,i
under the weather,i
under the weather,i
under the weather,i
jump through hoops,i
jump through hoops,i
jump through hoops,i
on the horn,i
on the horn,i
to the bone,i
to the bone,i
push the envelope,i
push the envelope,i
look on the bright side,i
look on the bright side,i
up to here,i
up to here,i
up to here,i
night and day,i
night and day,i
head for the hills,i
head for the hills,i
head for the hills,i
pass the buck,i
pass the buck,i
rise from the ashes,i
rise from the ashes,i
rise from the ashes,i
meat and potatoes,i
meat and potatoes,i
meat and potatoes,i
in bed with,i
in bed with,i
in bed with,i
in the pink,i
in the pink,i
in the pink,i
go to town,i
go to town,i
go to town,i
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,i
par for the course,i
par for the course,i
out of line,i
out of line,i
out of line,i
stay the course,i
stay the course,i
stay the course,i
smoke and mirrors,i
smoke and mirrors,i
get to the bottom of,i
get to the bottom of,i
get to the bottom of,i
by the book,i
by the book,i
in your face,i
in your face,i
in your face,i
in the black,i
in the black,i
in the black,i
hit the nail on the head,i
hit the nail on the head,i
in the driving seat,i
in the driving seat,i
in the driving seat,i
join the club,i
join the club,i
join the club,i
walk the plank,i
walk the plank,i
eat humble pie,i
eat humble pie,i
eat humble pie,i
up the river,i
up the river,i
up the river,i
circle the wagons,i
look the part,i
look the part,i
look the part,i
moment of truth,i
all bets are off,i
all bets are off,i
knock someone's socks off,i
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,i
jump on the bandwagon,i
jump on the bandwagon,i
turn the other cheek,i
raise the roof,i
raise the roof,i
raise the roof,i
do the right thing,i
do the right thing,i
do the right thing,i
on the square,i
on the square,i
on the square,i
pick up the pieces,i
pick up the pieces,i
pick up the pieces,i
touch and go,i
off and running,i
off and running,i
off and running,i
horses for courses,i
horses for courses,i
horses for courses,i
wipe the slate clean,i
wipe the slate clean,i
wipe the slate clean,i
hit the jackpot,i
hit the jackpot,i
hit the jackpot,i
round the bend,i
round the bend,i
round the bend,i
go for the jugular,i
go for the jugular,i
go for the jugular,i
nip and tuck,i
nip and tuck,i
nip and tuck,i
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,i
out of order,i
out of order,i
muddy the waters,i
muddy the waters,i
muddy the waters,i
move the goalposts,i
move the goalposts,i
move the goalposts,i
hair of the dog,i
hair of the dog,i
hair of the dog,i
have someone's number,i
neither here nor there,i
neither here nor there,i
neither here nor there,i
out of the woods,i
out of the woods,i
out of the woods,i
sit on the fence,i
sit on the fence,i
sit on the fence,i
keep the peace,i
keep the peace,i
six feet under,i
six feet under,i
six feet under,i
dead and buried,i
dead and buried,i
dead and buried,i
down in the dumps,i
down in the dumps,i
down in the dumps,i
know the score,i
know the score,i
know the score,i
oil and water,i
oil and water,i
oil and water,i
add fuel to the fire,i
add fuel to the fire,i
add fuel to the fire,i
power behind the throne,i
power behind the throne,i
power behind the throne,i
blood and guts,i
blood and guts,i
blood and guts,i
strike while the iron is hot,i
strike while the iron is hot,i
on the hop,i
on the hop,i
on the hop,i
all over the map,i
all over the map,i
all over the map,i
let the cat out of the bag,i
let the cat out of the bag,i
let the cat out of the bag,i
blaze a trail,i
blaze a trail,i
blaze a trail,i
on the bounce,i
on the bounce,i
on the bounce,i
at a canter,i
at a canter,i
at a canter,i
out to lunch,i
out to lunch,i
out to lunch,i
twist someone's arm,i
twist someone's arm,i
twist someone's arm,i
swings and roundabouts,i
swings and roundabouts,i
swings and roundabouts,i
on the ball,i
on the ball,i
rob Peter to pay Paul,i
rob Peter to pay Paul,i
rob Peter to pay Paul,i
ring a bell,i
ring a bell,i
ring a bell,i
to die for,i
to die for,i
