idiom,sentence
all hell broke loose,Output: i
all hell broke loose,Output: i
all hell broke loose,Output: i
off the hook,l
off the hook,l
off the hook,l
against the grain,l
against the grain,l
play with fire,i
play with fire,l
play with fire,i
make a killing,i
make a killing,i
make a killing,Output: i
carry the can,l
carry the can,l
carry the can,l
in the doghouse,l
in the doghouse,l
in the doghouse,l
behind the scenes,Output: l
behind the scenes,Output: l
behind the scenes,Output: l
go to the wall,l
go to the wall,l
go to the wall,l
see the light of day,Output: i
see the light of day,Output: l
under the weather,Output: i
under the weather,Output: l
under the weather,i
jump through hoops,l
jump through hoops,i
jump through hoops,Output: i
on the horn,l
on the horn,l
to the bone,l
to the bone,l
push the envelope,l
push the envelope,Output: l
look on the bright side,i
look on the bright side,i
up to here,l
up to here,l
up to here,i
night and day,i
night and day,i
head for the hills,Output: i
head for the hills,i
head for the hills,i
pass the buck,Output: i
pass the buck,Output: i
rise from the ashes,Output: i
rise from the ashes,i
rise from the ashes,i
meat and potatoes,i
meat and potatoes,l
meat and potatoes,l
in bed with,i
in bed with,i
in bed with,i
in the pink,i
in the pink,i
in the pink,i
go to town,l
go to town,i
go to town,i
heart of gold,i
heart of gold,i
heart of gold,Output: i
par for the course,i
par for the course,i
par for the course,i
out of line,l
out of line,l
out of line,l
stay the course,Output: i
stay the course,i
stay the course,i
smoke and mirrors,Output: i
smoke and mirrors,i
get to the bottom of,l
get to the bottom of,i
get to the bottom of,i
by the book,l
by the book,i
in your face,l
in your face,i
in your face,l
in the black,i
in the black,l
in the black,Output: l
hit the nail on the head,Output: l
hit the nail on the head,Output: l
in the driving seat,i
in the driving seat,Output: l
in the driving seat,l
join the club,Output: i
join the club,Output: i
join the club,Output: i
walk the plank,Output: l
walk the plank,Output: l
eat humble pie,Output: i
eat humble pie,l
eat humble pie,l
up the river,i
up the river,l
up the river,l
circle the wagons,Output: l
look the part,i
look the part,i
look the part,i
moment of truth,Output: i
all bets are off,i
all bets are off,i
knock someone's socks off,i
on the side of the angels,Output: i
on the side of the angels,Output: i
on the side of the angels,i
jump on the bandwagon,Output: i
jump on the bandwagon,i
jump on the bandwagon,i
turn the other cheek,i
raise the roof,Output: l
raise the roof,l
raise the roof,l
do the right thing,i
do the right thing,i
do the right thing,Output: i
on the square,l
on the square,l
on the square,l
pick up the pieces,Output: l
pick up the pieces,Output: l
pick up the pieces,Output: i
touch and go,l
off and running,i
off and running,Output: i
off and running,Output: i
horses for courses,Output: i
horses for courses,i
horses for courses,Output: i
wipe the slate clean,Output: l
wipe the slate clean,i
wipe the slate clean,i
hit the jackpot,Output: i
hit the jackpot,i
hit the jackpot,Output: i
round the bend,Output: i
round the bend,i
round the bend,Output: l
go for the jugular,Output: i
go for the jugular,Output: i
go for the jugular,Output: i
nip and tuck,i
nip and tuck,i
nip and tuck,l
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,l
out of order,Output: l
out of order,Output: l
muddy the waters,i
muddy the waters,i
muddy the waters,i
move the goalposts,Output: l
move the goalposts,l
move the goalposts,Output: i
hair of the dog,i
hair of the dog,l
hair of the dog,l
have someone's number,l
neither here nor there,i
neither here nor there,Output: i
neither here nor there,i
out of the woods,l
out of the woods,l
out of the woods,l
sit on the fence,i
sit on the fence,l
sit on the fence,l
keep the peace,i
keep the peace,l
six feet under,l
six feet under,l
six feet under,Output: l
dead and buried,Output: l
dead and buried,i
dead and buried,l
down in the dumps,Output: i
down in the dumps,i
down in the dumps,Output: i
know the score,l
know the score,Output: i
know the score,l
oil and water,Output: l
oil and water,i
oil and water,i
add fuel to the fire,Output: i
add fuel to the fire,l
add fuel to the fire,Output: l
power behind the throne,i
power behind the throne,Output: i
power behind the throne,i
blood and guts,Output: l
blood and guts,i
blood and guts,l
strike while the iron is hot,l
strike while the iron is hot,l
on the hop,i
on the hop,i
on the hop,l
all over the map,i
all over the map,Output: i
all over the map,i
let the cat out of the bag,l
let the cat out of the bag,i
let the cat out of the bag,Output: i
blaze a trail,Output: l
blaze a trail,l
blaze a trail,Output: i
on the bounce,l
on the bounce,i
on the bounce,Output: l
at a canter,l
at a canter,i
at a canter,Output: l
out to lunch,Output: i
out to lunch,i
out to lunch,i
twist someone's arm,l
twist someone's arm,i
twist someone's arm,Output: l
swings and roundabouts,l
swings and roundabouts,i
