idiom,sentence
all hell broke loose,output
all hell broke loose,output
all hell broke loose,output
off the hook,output
off the hook,output
off the hook,output
against the grain,output
against the grain,output
play with fire,output
play with fire,output
play with fire,output
make a killing,output
make a killing,output
make a killing,output
carry the can,output
carry the can,output
carry the can,output
in the doghouse,output
in the doghouse,output
in the doghouse,output
behind the scenes,output
behind the scenes,output
behind the scenes,output
go to the wall,output
go to the wall,output
go to the wall,output
see the light of day,output
see the light of day,output
under the weather,output
under the weather,output
under the weather,output
jump through hoops,output
jump through hoops,output
jump through hoops,output
on the horn,output
on the horn,output
to the bone,output
to the bone,output
push the envelope,output
push the envelope,output
look on the bright side,output
look on the bright side,output
up to here,output
up to here,output
up to here,output
night and day,output
night and day,output
head for the hills,output
head for the hills,output
head for the hills,output
pass the buck,output
pass the buck,output
rise from the ashes,output
rise from the ashes,output
rise from the ashes,output
meat and potatoes,output
meat and potatoes,output
meat and potatoes,output
in bed with,output
in bed with,output
in bed with,output
in the pink,output
in the pink,output
in the pink,output
go to town,output
go to town,output
go to town,output
heart of gold,output
heart of gold,output
heart of gold,output
par for the course,output
par for the course,output
par for the course,output
out of line,output
out of line,output
out of line,output
stay the course,output
stay the course,output
stay the course,output
smoke and mirrors,output
smoke and mirrors,output
get to the bottom of,output
get to the bottom of,output
get to the bottom of,output
by the book,output
by the book,output
in your face,output
in your face,output
in your face,output
in the black,output
in the black,output
in the black,output
hit the nail on the head,output
hit the nail on the head,output
in the driving seat,output
in the driving seat,output
in the driving seat,output
join the club,output
join the club,output
join the club,output
walk the plank,output
walk the plank,output
eat humble pie,output
eat humble pie,output
eat humble pie,output
up the river,output
up the river,output
up the river,output
circle the wagons,output
look the part,output
look the part,output
look the part,output
moment of truth,output
all bets are off,output
all bets are off,output
knock someone's socks off,output
on the side of the angels,output
on the side of the angels,output
on the side of the angels,output
jump on the bandwagon,output
jump on the bandwagon,output
jump on the bandwagon,output
turn the other cheek,output
raise the roof,output
raise the roof,output
raise the roof,output
do the right thing,output
do the right thing,output
do the right thing,output
on the square,output
on the square,output
on the square,output
pick up the pieces,output
pick up the pieces,output
pick up the pieces,output
touch and go,output
off and running,output
off and running,output
off and running,output
horses for courses,output
horses for courses,output
horses for courses,output
wipe the slate clean,output
wipe the slate clean,output
wipe the slate clean,output
hit the jackpot,output
hit the jackpot,output
hit the jackpot,output
round the bend,output
round the bend,output
round the bend,output
go for the jugular,output
go for the jugular,output
go for the jugular,output
nip and tuck,output
nip and tuck,output
nip and tuck,output
throw the baby out with the bathwater,output
throw the baby out with the bathwater,output
out of order,output
out of order,output
out of order,output
muddy the waters,output
muddy the waters,output
muddy the waters,output
move the goalposts,output
move the goalposts,output
move the goalposts,output
hair of the dog,output
hair of the dog,output
hair of the dog,output
have someone's number,output
neither here nor there,output
neither here nor there,output
neither here nor there,output
out of the woods,output
out of the woods,output
out of the woods,output
sit on the fence,output
sit on the fence,output
sit on the fence,output
keep the peace,output
keep the peace,output
six feet under,output
six feet under,output
six feet under,output
dead and buried,output
dead and buried,output
dead and buried,output
down in the dumps,output
down in the dumps,output
down in the dumps,output
know the score,output
know the score,output
know the score,output
oil and water,output
oil and water,output
oil and water,output
add fuel to the fire,output
add fuel to the fire,output
add fuel to the fire,output
power behind the throne,output
power behind the throne,output
power behind the throne,output
blood and guts,output
blood and guts,output
blood and guts,output
strike while the iron is hot,output
strike while the iron is hot,output
on the hop,output
on the hop,output
on the hop,output
all over the map,output
all over the map,output
all over the map,output
let the cat out of the bag,output
let the cat out of the bag,output
let the cat out of the bag,output
blaze a trail,output
blaze a trail,output
blaze a trail,output
on the bounce,output
on the bounce,output
on the bounce,output
at a canter,output
at a canter,output
at a canter,output
out to lunch,output
out to lunch,output
out to lunch,output
twist someone's arm,output
twist someone's arm,output
twist someone's arm,output
swings and roundabouts,output
swings and roundabouts,output
swings and roundabouts,output
on the ball,output
on the ball,output
rob Peter to pay Paul,output
rob Peter to pay Paul,output
rob Peter to pay Paul,output
ring a bell,output
ring a bell,output
ring a bell,output
to die for,output
to die for,output
to die for,output
everything but the kitchen sink,output
spend a penny,output
spend a penny,output
spend a penny,output
in black and white,output
in black and white,output
in black and white,output
doom and gloom,output
doom and gloom,output
doom and gloom,output
keep tabs on,output
keep tabs on,output
keep tabs on,output
get the picture,output
get the picture,output
get the picture,output
look the other way,output
look the other way,output
look the other way,output
burst someone's bubble,output
burst someone's bubble,output
burst someone's bubble,output
fall in line,output
fall in line,output
fall in line,output
water under the bridge,output
water under the bridge,output
water under the bridge,output
keep a lid on,output
keep a lid on,output
keep a lid on,output
down the drain,output
down the drain,output
down the drain,output
make the cut,output
make the cut,output
make the cut,output
free and easy,output
free and easy,output
free and easy,output
with a vengeance,output
cut both ways,output
cut both ways,output
cut both ways,output
sing the praises of,output
sing the praises of,output
sing the praises of,output
hold the line,output
pull the plug,output
pull the plug,output
pull the plug,output
make a move,output
make a move,output
make a move,output
make a meal of,output
make a meal of,output
make a meal of,output
the icing on the cake,output
the icing on the cake,output
the icing on the cake,output
in the red,output
in the red,output
in the red,output
feel the pinch,output
feel the pinch,output
feel the pinch,output
under the microscope,output
under the microscope,output
under the microscope,output
pay the piper,output
pay the piper,output
pay the piper,output
on the trot,output
on the trot,output
on the trot,output
peaches and cream,output
peaches and cream,output
toe the line,output
toe the line,output
grasp the nettle,output
grasp the nettle,output
grasp the nettle,output
high and mighty,output
high and mighty,output
high and mighty,output
in the hole,output
in the hole,output
in the hole,output
take the fall,output
take the fall,output
take the fall,output
in the offing,output
in the offing,output
in the offing,output
ride roughshod over,output
ride roughshod over,output
ride roughshod over,output
crash and burn,output
crash and burn,output
crash and burn,output
dyed in the wool,output
dyed in the wool,output
dyed in the wool,output
fight fire with fire,output
fight fire with fire,output
fight fire with fire,output
all over the place,output
all over the place,output
all over the place,output
grind to a halt,output
grind to a halt,output
grind to a halt,output
in a nutshell,output
in a nutshell,output
rise and shine,output
take a back seat,output
take a bath,output
take a bath,output
take a bath,output
bury the hatchet,output
bury the hatchet,output
in the soup,output
in the soup,output
in the soup,output
grease the wheels,output
grease the wheels,output
grease the wheels,output
apples and oranges,output
apples and oranges,output
follow in someone's footsteps,output
follow in someone's footsteps,output
follow in someone's footsteps,output
under the wire,output
under the wire,output
under the wire,output
out of the blue,output
out of the blue,output
out of the blue,output
over the moon,output
over the moon,output
throw down the gauntlet,output
throw down the gauntlet,output
take the bull by the horns,output
take the bull by the horns,output
take the bull by the horns,output
over the top,output
over the top,output
over the top,output
sweetness and light,output
sweetness and light,output
behind someone's back,output
behind someone's back,output
on the ropes,output
take the cake,output
dig up dirt,output
dig up dirt,output
dig up dirt,output
left and right,output
dead in the water,output
dead in the water,output
dead in the water,output
take no prisoners,output
run out of steam,output
take a hike,output
take a hike,output
take a hike,output
go the extra mile,output
under a cloud,output
under a cloud,output
under a cloud,output
in someone's pocket,output
in someone's pocket,output
in someone's pocket,output
on the shelf,output
on the shelf,output
on the shelf,output
pound the pavement,output
cut and thrust,output
cut and thrust,output
song and dance,output
song and dance,output
song and dance,output
turn the tables,output
turn the tables,output
over the hill,output
over the hill,output
over the hill,output
out of the loop,output
drop the ball,output
the buck stops here,output
the buck stops here,output
the buck stops here,output
on the rocks,output
on the rocks,output
on the rocks,output
break someone's heart,output
break someone's heart,output
break someone's heart,output
steal someone's thunder,output
slap on the wrist,output
slap on the wrist,output
on the make,output
on the make,output
on the make,output
things that go bump in the night,output
push the boat out,output
push the boat out,output
push the boat out,output
smell a rat,output
smell a rat,output
smell a rat,output
shoot the messenger,output
shoot the messenger,output
shoot the messenger,output
wake up and smell the coffee,output
fun and games,output
fun and games,output
fun and games,output
cast the first stone,output
cast the first stone,output
kick the bucket,output
kick the bucket,output
kick the bucket,output
fly a kite,output
fly a kite,output
fly a kite,output
in the clear,output
in the clear,output
have a few,output
have a few,output
have a few,output
to the hilt,output
to the hilt,output
to the hilt,output
open the floodgates,output
open the floodgates,output
open the floodgates,output
throw the book at,output
throw the book at,output
throw the book at,output
when the chips are down,output
when the chips are down,output
between a rock and a hard place,output
between a rock and a hard place,output
put down roots,output
put down roots,output
in your dreams,output
in your dreams,output
short and sweet,output
cut and dried,output
cut and dried,output
cut and dried,output
six of the best,output
six of the best,output
six of the best,output
behind closed doors,output
behind closed doors,output
behind closed doors,output
clear the decks,output
clear the decks,output
clear the decks,output
on the game,output
on the game,output
on the game,output
with open arms,output
with open arms,output
flash in the pan,output
flash in the pan,output
flash in the pan,output
rough around the edges,output
rough around the edges,output
fly off the handle,output
fly off the handle,output
see the light,output
see the light,output
see the light,output
pour cold water on,output
pour cold water on,output
pour cold water on,output
fire in the belly,output
get a grip,output
get a grip,output
get a grip,output
in the loop,output
in the loop,output
in the loop,output
fly in the face of,output
fly in the face of,output
get the boot,output
get the boot,output
on and off,output
on and off,output
on and off,output
cook the books,output
cook the books,output
cook the books,output
on the same page,output
on the same page,output
run a mile,output
run a mile,output
run a mile,output
on thin ice,output
on thin ice,output
close to home,output
close to home,output
close to home,output
in the bag,output
in the bag,output
in the raw,output
in the raw,output
cut the mustard,output
force someone's hand,output
force someone's hand,output
in the final analysis,output
in the final analysis,output
in the final analysis,output
up in the air,output
up in the air,output
fall from grace,output
fall from grace,output
fall from grace,output
full of beans,output
full of beans,output
full of beans,output
press the panic button,output
press the panic button,output
press the panic button,output
have a heart,output
have a heart,output
have a heart,output
on the fly,output
on the fly,output
get stuck in,output
get stuck in,output
get stuck in,output
out of the box,output
out of the box,output
out of the box,output
on the warpath,output
on the warpath,output
on the warpath,output
take a dive,output
take a dive,output
take a dive,output
scratch the surface,output
scratch the surface,output
scratch the surface,output
hammer and tongs,output
hammer and tongs,output
hammer and tongs,output
make a clean break,output
make a clean break,output
make a clean break,output
at sixes and sevens,output
nuts and bolts,output
nuts and bolts,output
nuts and bolts,output
the ball is in someone's court,output
the ball is in someone's court,output
get a life,output
get a life,output
get a life,output
on the nose,output
on the nose,output
on the nose,output
on a shoestring,output
in the driver's seat,output
in the driver's seat,output
wet behind the ears,output
wet behind the ears,output
wet behind the ears,output
up a tree,output
up a tree,output
