Idiom,Sentence
all hell broke loose,'l'
all hell broke loose,l
all hell broke loose,'l'
off the hook,'l'
off the hook,'l'
off the hook,'l'
against the grain,'l'
against the grain,'l'
play with fire,'l'
play with fire,'l'
play with fire,'l'
make a killing,'l'
make a killing,'l'
make a killing,'l'
carry the can,'l'
carry the can,'l'
carry the can,'l'
in the doghouse,'l'
in the doghouse,'l'
in the doghouse,'l'
behind the scenes,'l'
behind the scenes,'l'
behind the scenes,'l'
go to the wall,'l'
go to the wall,'l'
go to the wall,l
see the light of day,'l'
see the light of day,'l' for literal.
under the weather,'l'
under the weather,'l'
under the weather,'l'
jump through hoops,'l'
jump through hoops,'l'
jump through hoops,'l'
on the horn,'l'
on the horn,'l'
to the bone,'l'
to the bone,'l'
push the envelope,'l'
push the envelope,'l'
look on the bright side,'l'
look on the bright side,'l'
up to here,'l'
up to here,'l'
up to here,'l'
night and day,'l'
night and day,i
head for the hills,'l'
head for the hills,'l'
head for the hills,'l'
pass the buck,'l'
pass the buck,'l'
rise from the ashes,'l'
rise from the ashes,i
rise from the ashes,'l'
meat and potatoes,"The expression 'meat and potatoes' is used literally in the sentence: 'For dinner, we had a hearty meal of meat and potatoes.' 

The answer is 'l' for literal."
meat and potatoes,'l'
meat and potatoes,'l'
in bed with,'l'
in bed with,'l'
in bed with,'l'
in the pink,"The expression 'in the pink' is used literally in the sentence: 'The flamingo stood out in the pink sunset.' 

Thus, the answer is 'l'."
in the pink,'l'
in the pink,'l'
go to town,'l'
go to town,'l'
go to town,'l'
heart of gold,'l'
heart of gold,'l'
heart of gold,'l'
par for the course,'l'
par for the course,'l'
par for the course,'l'
out of line,'l'
out of line,'l'
out of line,'literal'
stay the course,'l'
stay the course,'l'
stay the course,l
smoke and mirrors,'l'
smoke and mirrors,'l'
get to the bottom of,'l'
get to the bottom of,'l'
get to the bottom of,'l'
by the book,'l'
by the book,'l'
in your face,'l'
in your face,'l'
in your face,'l'
in the black,'l'
in the black,'l'
in the black,'l'
hit the nail on the head,'l'
hit the nail on the head,'l'
in the driving seat,'l'
in the driving seat,'l'
in the driving seat,'l'
join the club,'l'
join the club,'l'
join the club,'l'
walk the plank,'l'
walk the plank,'l'
eat humble pie,'l'
eat humble pie,'l'
eat humble pie,'l'
up the river,'l'
up the river,'l'
up the river,'l'
circle the wagons,"The expression 'circle the wagons' is used literally in the sentence: 'During their journey across the prairie, the settlers would circle the wagons every night to create a makeshift fort.'. Therefore, the answer is 'l'."
look the part,'l'
look the part,i
look the part,i
moment of truth,i
all bets are off,'i'
all bets are off,'l'
knock someone's socks off,'l'
on the side of the angels,'l'
on the side of the angels,'l'
on the side of the angels,i
jump on the bandwagon,'l'
jump on the bandwagon,'l'
jump on the bandwagon,'l'
turn the other cheek,'l'
raise the roof,'l'
raise the roof,'l'
raise the roof,"The expression 'raise the roof' is used literally in the sentence: 'The construction workers had to raise the roof to install the new insulation material.'. 

So the answer is 'l'."
do the right thing,'i'
do the right thing,i
do the right thing,'i'
on the square,'l'
on the square,'l'
on the square,'l'
pick up the pieces,'l'
pick up the pieces,'l'
pick up the pieces,'l'
touch and go,'l'
off and running,'l'
off and running,'l'
off and running,'l'
horses for courses,'l'
horses for courses,'l'
horses for courses,'l'
wipe the slate clean,'l'
wipe the slate clean,'l'
wipe the slate clean,'i'
hit the jackpot,'l'
hit the jackpot,'l'
hit the jackpot,'l'
round the bend,'l'
round the bend,"The expression 'round the bend' in the sentence 'The scenic drive 'round the bend offered breathtaking views of the sunset.' is used literally. So, the answer is 'l'."
round the bend,'l'
go for the jugular,'l'
go for the jugular,'l'
go for the jugular,'l'
nip and tuck,'l'
nip and tuck,'l'
nip and tuck,'l'
throw the baby out with the bathwater,'l'
throw the baby out with the bathwater,'l'
out of order,The expression 'out of order' in the sentence 'The elevator is out of order so we'll need to use the stairs.' is used literally. So the answer is 'l'.
out of order,'l'
out of order,'l'
muddy the waters,'l'
muddy the waters,'l'
muddy the waters,'l'
move the goalposts,'l'
move the goalposts,'l'
move the goalposts,'l'
hair of the dog,'l'
hair of the dog,'l'
hair of the dog,'l'
have someone's number,'l'
neither here nor there,'l'
neither here nor there,'l'
neither here nor there,'l'
out of the woods,'l'
out of the woods,'l'
out of the woods,'l'
sit on the fence,'l'
sit on the fence,'l'
sit on the fence,'l'
keep the peace,'l'
keep the peace,'l'
six feet under,'l'
six feet under,'l'
six feet under,'l'
dead and buried,'l'
dead and buried,'i'
dead and buried,'l'
down in the dumps,'i'
down in the dumps,'l'
down in the dumps,'l'
know the score,'l'
know the score,'l'
know the score,'l'
oil and water,'l'
oil and water,'l'
oil and water,'l'
add fuel to the fire,'l'
add fuel to the fire,'l'
add fuel to the fire,'l'
power behind the throne,i
power behind the throne,i
power behind the throne,'i'
blood and guts,'l'
blood and guts,'l'
blood and guts,'l'
strike while the iron is hot,'l'
strike while the iron is hot,'l'
on the hop,'l'
on the hop,'l'
on the hop,'l'
all over the map,'l'
all over the map,'l'
all over the map,'l'
let the cat out of the bag,"The expression 'let the cat out of the bag' is used literally in the sentence 'During her move, Samantha had to let the cat out of the bag after it had crawled in amongst the linens.' Therefore, the answer is 'l' for literal."
let the cat out of the bag,The answer is 'l' for literal.
let the cat out of the bag,'l'
blaze a trail,'l'
blaze a trail,"The expression 'blaze a trail' is used literally in the sentence: 'The scout leader taught the young boys how to blaze a trail in the wilderness for future hiking expeditions.'. 

So the answer is 'l'."
blaze a trail,'l'
on the bounce,'l'
on the bounce,'l'
on the bounce,'l'
at a canter,'l'
at a canter,'l'
at a canter,'l'
out to lunch,'l'
out to lunch,'l'
out to lunch,'l'
twist someone's arm,'l'
