literal_correct,figurative_correct,both_correct
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
