idiom,cleaned_text
all hell broke loose,i
all hell broke loose,l
all hell broke loose,i
off the hook,l
off the hook,l
off the hook,l
against the grain,l
against the grain,l
play with fire,l
play with fire,l
play with fire,l
make a killing,i
make a killing,l
make a killing,i
carry the can,l
carry the can,l
carry the can,l
in the doghouse,i
in the doghouse,l
in the doghouse,l
behind the scenes,i
behind the scenes,i
behind the scenes,i
go to the wall,i
go to the wall,i
go to the wall,i
see the light of day,i
see the light of day,i
under the weather,i
under the weather,i
under the weather,
jump through hoops,l
jump through hoops,i
jump through hoops,i
on the horn,i
on the horn,l
to the bone,i
to the bone,l
push the envelope,l
push the envelope,l
look on the bright side,i
look on the bright side,i
up to here,l
up to here,l
up to here,i
night and day,i
night and day,i
head for the hills,i
head for the hills,i
head for the hills,l
pass the buck,l
pass the buck,l
rise from the ashes,i
rise from the ashes,i
rise from the ashes,i
meat and potatoes,i
meat and potatoes,l
meat and potatoes,i
in bed with,i
in bed with,i
in bed with,i
in the pink,i
in the pink,i
in the pink,i
go to town,l
go to town,i
go to town,i
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,l
par for the course,i
par for the course,i
out of line,i
out of line,i
out of line,l
stay the course,i
stay the course,i
stay the course,i
smoke and mirrors,i
smoke and mirrors,i
get to the bottom of,l
get to the bottom of,l
get to the bottom of,l
by the book,l
by the book,u
in your face,l
in your face,i
in your face,l
in the black,i
in the black,i
in the black,i
hit the nail on the head,i
hit the nail on the head,l
in the driving seat,i
in the driving seat,i
in the driving seat,i
join the club,i
join the club,i
join the club,i
walk the plank,l
walk the plank,i
eat humble pie,i
eat humble pie,i
eat humble pie,i
up the river,i
up the river,i
up the river,i
circle the wagons,l
look the part,i
look the part,i
look the part,i
moment of truth,i
all bets are off,i
all bets are off,l
knock someone's socks off,i
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,i
jump on the bandwagon,i
jump on the bandwagon,i
turn the other cheek,l
raise the roof,l
raise the roof,l
raise the roof,l
do the right thing,i
do the right thing,i
do the right thing,i
on the square,l
on the square,i
on the square,l
pick up the pieces,l
pick up the pieces,l
pick up the pieces,i
touch and go,l
off and running,i
off and running,i
off and running,i
horses for courses,i
horses for courses,i
horses for courses,l
wipe the slate clean,i
wipe the slate clean,i
wipe the slate clean,i
hit the jackpot,l
hit the jackpot,i
hit the jackpot,i
round the bend,i
round the bend,i
round the bend,i
go for the jugular,
go for the jugular,l
go for the jugular,l
nip and tuck,i
nip and tuck,i
nip and tuck,i
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,i
out of order,i
out of order,i
muddy the waters,i
muddy the waters,i
muddy the waters,
move the goalposts,l
move the goalposts,l
move the goalposts,l
hair of the dog,i
hair of the dog,i
