idiom,response
all hell broke loose,i
all hell broke loose,i
all hell broke loose,i
off the hook,i
off the hook,l
off the hook,u
against the grain,l
against the grain,l
play with fire,u
play with fire,i
play with fire,i
make a killing,l
make a killing,u
make a killing,i
carry the can,l
carry the can,l
carry the can,i
in the doghouse,i
in the doghouse,i
in the doghouse,l
behind the scenes,i
behind the scenes,l
behind the scenes,l
go to the wall,l
go to the wall,l
go to the wall,i
see the light of day,i
see the light of day,l
under the weather,i
under the weather,l
under the weather,l
jump through hoops,l
jump through hoops,u
jump through hoops,l
on the horn,u
on the horn,i
to the bone,l
to the bone,l
push the envelope,i
push the envelope,l
look on the bright side,l
look on the bright side,i
up to here,l
up to here,l
up to here,l
night and day,i
night and day,l
head for the hills,u
head for the hills,l
head for the hills,l
pass the buck,i
pass the buck,l
rise from the ashes,i
rise from the ashes,u
rise from the ashes,i
meat and potatoes,l
meat and potatoes,u
meat and potatoes,l
in bed with,u
in bed with,l
in bed with,i
in the pink,i
in the pink,u
in the pink,i
go to town,l
go to town,i
go to town,l
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,u
par for the course,l
par for the course,l
out of line,l
out of line,l
out of line,l
stay the course,u
stay the course,l
stay the course,i
smoke and mirrors,u
smoke and mirrors,i
get to the bottom of,l
get to the bottom of,l
get to the bottom of,u
by the book,l
by the book,u
in your face,l
in your face,i
in your face,l
in the black,u
in the black,l
in the black,u
hit the nail on the head,i
hit the nail on the head,l
in the driving seat,i
in the driving seat,i
in the driving seat,l
join the club,l
join the club,l
join the club,i
walk the plank,l
walk the plank,l
eat humble pie,l
eat humble pie,i
eat humble pie,i
up the river,l
up the river,l
up the river,u
circle the wagons,l
look the part,l
look the part,i
look the part,i
moment of truth,l
all bets are off,i
all bets are off,u
knock someone's socks off,i
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,i
jump on the bandwagon,i
jump on the bandwagon,l
turn the other cheek,i
raise the roof,l
raise the roof,l
raise the roof,u
do the right thing,i
do the right thing,i
do the right thing,i
on the square,l
on the square,l
on the square,l
pick up the pieces,l
pick up the pieces,i
pick up the pieces,l
touch and go,l
off and running,i
off and running,l
off and running,l
horses for courses,i
horses for courses,i
horses for courses,i
wipe the slate clean,l
wipe the slate clean,l
wipe the slate clean,i
hit the jackpot,l
hit the jackpot,i
hit the jackpot,u
round the bend,i
round the bend,u
round the bend,u
go for the jugular,l
go for the jugular,i
go for the jugular,l
nip and tuck,i
nip and tuck,l
nip and tuck,l
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,u
out of order,l
out of order,l
muddy the waters,l
muddy the waters,i
muddy the waters,i
move the goalposts,l
move the goalposts,l
move the goalposts,i
hair of the dog,i
hair of the dog,l
hair of the dog,i
have someone's number,i
neither here nor there,i
neither here nor there,l
neither here nor there,i
out of the woods,l
out of the woods,i
out of the woods,i
sit on the fence,i
sit on the fence,l
sit on the fence,l
keep the peace,l
keep the peace,l
six feet under,u
six feet under,l
six feet under,l
dead and buried,u
dead and buried,u
dead and buried,u
down in the dumps,i
down in the dumps,u
down in the dumps,i
know the score,i
know the score,i
know the score,l
oil and water,i
oil and water,i
oil and water,l
add fuel to the fire,l
add fuel to the fire,l
add fuel to the fire,i
power behind the throne,i
power behind the throne,i
power behind the throne,i
blood and guts,l
blood and guts,u
blood and guts,l
strike while the iron is hot,i
strike while the iron is hot,i
on the hop,i
on the hop,l
on the hop,i
all over the map,i
all over the map,l
all over the map,i
let the cat out of the bag,i
let the cat out of the bag,i
let the cat out of the bag,i
blaze a trail,i
blaze a trail,i
blaze a trail,i
on the bounce,l
on the bounce,l
on the bounce,i
at a canter,l
at a canter,l
at a canter,l
out to lunch,i
out to lunch,l
out to lunch,u
twist someone's arm,u
twist someone's arm,i
twist someone's arm,i
swings and roundabouts,i
swings and roundabouts,i
swings and roundabouts,i
on the ball,i
on the ball,l
rob Peter to pay Paul,i
rob Peter to pay Paul,i
rob Peter to pay Paul,i
ring a bell,l
ring a bell,l
ring a bell,l
to die for,i
to die for,u
