idiom,sentence
all hell broke loose,"system

You are an assistant.user

expression: 'all hell broke loose'
 sentence: 'Then all hell broke loose.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

Given the sentence: ""Then all hell broke loose.""

Output: i

The expression ""all hell broke loose"" is used figuratively, meaning that a chaotic or tumultuous situation has occurred, rather than literally, where hell is a physical place where hellish events are taking place."
all hell broke loose,"system

You are an assistant.user

expression: 'all hell broke loose'
 sentence: 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
all hell broke loose,"system

You are an assistant.user

expression: 'all hell broke loose'
 sentence: 'We knew the German signals for the night, so we tricked them into holding fire until we were about a mile out, then all hell broke loose.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
off the hook,"system

You are an assistant.user

expression: 'off the hook'
 sentence: 'The Spectator gets its readers off the hook by a return to Malthus, who made a virtue of not helping the poor, as then, he informed us, they would drag us down by overbreeding.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
off the hook,"system

You are an assistant.user

expression: 'off the hook'
 sentence: 'He was off the hook.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

For the sentence: ""He was off the hook.""
The expression: 'off the hook'

Output: i"
off the hook,"system

You are an assistant.user

expression: 'off the hook'
 sentence: 'I must have left it off the hook this morning.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

I'm ready to help!

For the sentence: ""I must have left it off the hook this morning.""
The expression is: ""off the hook""

Output: i"
against the grain,"system

You are an assistant.user

expression: 'against the grain'
 sentence: 'Out of duty she had caved in, but it still went against the grain.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
against the grain,"system

You are an assistant.user

expression: 'against the grain'
 sentence: 'Every erm pitchfork must come out one You can't start fighting and and pulling it against the grain otherwise you you would be in trouble.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
play with fire,"system

You are an assistant.user

expression: 'play with fire'
 sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: i"
play with fire,"system

You are an assistant.user

expression: 'play with fire'
 sentence: 'The stunts became more daring and, in one episode, Crawford found himself literally playing with fire, when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding.' QUESTION: Given a contextual sentence and a expression, tell me if the expression is used figurative or literally. Either generate 'output: i' if figurative, or generate the letter 'output: l' if literal.assistant

Output: l"
