idiom,cleaned_text
all hell broke loose,u
all hell broke loose,l
all hell broke loose,i
off the hook,i
off the hook,l
off the hook,i
against the grain,u
against the grain,i
play with fire,u
play with fire,l
play with fire,l
make a killing,u
make a killing,i
make a killing,u
carry the can,u
carry the can,u
carry the can,u
in the doghouse,i
in the doghouse,u
in the doghouse,l
behind the scenes,l
behind the scenes,l
behind the scenes,i
go to the wall,l
go to the wall,u
go to the wall,u
see the light of day,i
see the light of day,l
under the weather,u
under the weather,i
under the weather,u
jump through hoops,u
jump through hoops,i
jump through hoops,u
on the horn,l
on the horn,u
to the bone,l
to the bone,l
push the envelope,l
push the envelope,l
look on the bright side,i
look on the bright side,i
up to here,i
up to here,u
up to here,i
night and day,i
night and day,i
head for the hills,u
head for the hills,u
head for the hills,l
pass the buck,i
pass the buck,i
rise from the ashes,l
rise from the ashes,i
rise from the ashes,i
meat and potatoes,l
meat and potatoes,l
meat and potatoes,l
in bed with,i
in bed with,i
in bed with,l
in the pink,i
in the pink,i
in the pink,u
go to town,l
go to town,l
go to town,i
heart of gold,u
heart of gold,i
heart of gold,i
par for the course,i
par for the course,i
par for the course,i
out of line,l
out of line,l
out of line,l
stay the course,i
stay the course,i
stay the course,i
smoke and mirrors,i
smoke and mirrors,i
get to the bottom of,l
get to the bottom of,l
get to the bottom of,l
by the book,l
by the book,l
in your face,i
in your face,i
in your face,u
in the black,u
in the black,u
in the black,i
hit the nail on the head,u
hit the nail on the head,i
in the driving seat,i
in the driving seat,u
in the driving seat,i
join the club,i
join the club,u
join the club,u
walk the plank,l
walk the plank,l
eat humble pie,l
eat humble pie,i
eat humble pie,l
up the river,i
up the river,l
up the river,l
circle the wagons,u
look the part,i
look the part,i
look the part,i
moment of truth,l
all bets are off,i
all bets are off,u
knock someone's socks off,u
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,i
jump on the bandwagon,i
jump on the bandwagon,i
turn the other cheek,i
raise the roof,u
raise the roof,u
raise the roof,u
do the right thing,i
do the right thing,l
do the right thing,l
on the square,l
on the square,u
on the square,u
pick up the pieces,l
pick up the pieces,l
pick up the pieces,i
touch and go,l
off and running,i
off and running,i
off and running,i
horses for courses,i
horses for courses,i
horses for courses,i
wipe the slate clean,i
wipe the slate clean,i
wipe the slate clean,l
hit the jackpot,i
hit the jackpot,l
hit the jackpot,i
round the bend,i
round the bend,i
round the bend,i
go for the jugular,i
go for the jugular,i
go for the jugular,i
nip and tuck,l
nip and tuck,l
nip and tuck,l
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,u
out of order,u
out of order,l
muddy the waters,i
muddy the waters,i
muddy the waters,i
move the goalposts,l
move the goalposts,i
move the goalposts,u
hair of the dog,i
hair of the dog,i
hair of the dog,i
have someone's number,u
neither here nor there,i
neither here nor there,i
neither here nor there,i
out of the woods,u
out of the woods,i
out of the woods,i
sit on the fence,u
sit on the fence,u
sit on the fence,u
keep the peace,l
keep the peace,l
six feet under,l
six feet under,l
six feet under,u
dead and buried,l
dead and buried,l
dead and buried,l
down in the dumps,i
down in the dumps,u
down in the dumps,i
know the score,i
know the score,i
know the score,l
oil and water,l
oil and water,i
oil and water,u
add fuel to the fire,l
add fuel to the fire,i
add fuel to the fire,i
power behind the throne,l
power behind the throne,i
power behind the throne,l
blood and guts,l
blood and guts,l
blood and guts,l
strike while the iron is hot,l
strike while the iron is hot,u
on the hop,i
on the hop,l
on the hop,i
all over the map,i
all over the map,l
all over the map,u
let the cat out of the bag,i
let the cat out of the bag,i
let the cat out of the bag,i
blaze a trail,i
blaze a trail,i
blaze a trail,i
on the bounce,i
on the bounce,l
on the bounce,i
at a canter,u
at a canter,l
at a canter,i
out to lunch,l
out to lunch,u
out to lunch,l
twist someone's arm,i
twist someone's arm,i
twist someone's arm,i
swings and roundabouts,l
swings and roundabouts,i
swings and roundabouts,i
on the ball,i
on the ball,i
rob Peter to pay Paul,l
rob Peter to pay Paul,i
rob Peter to pay Paul,l
ring a bell,i
ring a bell,i
ring a bell,i
to die for,u
to die for,u
to die for,l
everything but the kitchen sink,u
spend a penny,i
spend a penny,i
spend a penny,u
in black and white,l
in black and white,l
