idiom,sentence
all hell broke loose,"

Output: i"
all hell broke loose,"

Output: i"
all hell broke loose,"

Output: l"
off the hook,"

Output: i"
off the hook,"

Output: i"
off the hook,"

Output: l"
against the grain,"

Output: i"
against the grain,"

Output: l"
play with fire,"

Output: i"
play with fire,"

Output: l"
play with fire,"

Output: i"
make a killing,"

Output: i"
make a killing,"

Output: i"
make a killing,"

Output: i"
carry the can,"

Output: i"
carry the can,"

Output: i"
carry the can,"

Output: i"
in the doghouse,"

Output: i"
in the doghouse,"

output: i"
in the doghouse,"

output: i"
behind the scenes,"

Output: i"
behind the scenes,"

Output: l"
behind the scenes,"

output: i"
go to the wall,"

Output: i"
go to the wall,"

Output: i"
go to the wall,"

Output: i"
see the light of day,"

Output: i"
see the light of day,"

Output: i"
under the weather,"

Output: i"
under the weather,"

Output: i"
under the weather,"

Output: i"
jump through hoops,"

Output: i"
jump through hoops,"

output: i"
jump through hoops,"

Output: i"
on the horn,"

Output: i"
on the horn,"

Output: l"
to the bone,"

Output: i"
to the bone,"

Output: i"
push the envelope,"

Output: i"
push the envelope,"

Output: i"
look on the bright side,"

output: i"
look on the bright side,"

output: i"
up to here,"

Output: l"
up to here,"

Output: i"
up to here,"

Output: i"
night and day,"

output: l"
night and day,"

Output: l"
head for the hills,"

Output: l"
head for the hills,"

Output: i"
head for the hills,"

Output: i"
pass the buck,"

Output: i"
pass the buck,"

Output: i"
rise from the ashes,"

output: l"
rise from the ashes,"

Output: l"
rise from the ashes,"

Output: i"
meat and potatoes,"

Output: i"
meat and potatoes,"

Output: l"
meat and potatoes,"

Output: i"
in bed with,"

Output: i"
in bed with,"

Output: i"
in bed with,"

Output: i"
in the pink,"

output: i"
in the pink,"

Output: i"
in the pink,"

Output: l"
go to town,"

Output: i"
go to town,"

Output: i"
go to town,"

Output: i"
heart of gold,"

Output: i"
heart of gold,"

Output: i"
heart of gold,"

Output: i"
par for the course,"

output: i"
par for the course,"

Output: i

The phrase ""par for the course"" is being used figuratively in this sentence. It is an idiomatic expression that means ""normal"" or ""expected"" in a particular situation, rather than referring to a literal golf score. The speaker is saying that government incompetence is a normal and expected occurrence, rather than a literal measurement of a golf course."
par for the course,"

Output: i"
out of line,"

Output: i"
out of line,"

Output: i"
out of line,"

Output: i"
stay the course,"

Output: l"
stay the course,"

output: i"
stay the course,"

Output: i"
smoke and mirrors,"

Output: i"
smoke and mirrors,"

Output: i"
get to the bottom of,"

Output: i"
get to the bottom of,"

Output: i"
get to the bottom of,"

Output: i"
by the book,"

Output: i"
by the book,"

Output: i"
in your face,"

output: i"
in your face,"

output: i"
in your face,"

Output: i"
in the black,"

Output: l"
in the black,"

output: i"
in the black,"

Output: i"
hit the nail on the head,"

output: i"
hit the nail on the head,"

output: i"
in the driving seat,"

Output: i"
in the driving seat,"

Output: i"
in the driving seat,"

Output: i"
join the club,"

Output: l"
join the club,"

Output: i"
join the club,"

output: i"
walk the plank,"

Output: i"
walk the plank,"

Output: i"
eat humble pie,"

Output: i"
eat humble pie,"

Output: i"
eat humble pie,"

Output: i"
up the river,"

Output: i"
up the river,"

output: l"
up the river,"

Output: i"
circle the wagons,"

output: i"
look the part,"

output: i"
look the part,"

Output: i"
look the part,"

Output: i"
moment of truth,"

Output: i"
all bets are off,"

Output: i"
all bets are off,"

Output: i"
knock someone's socks off,"

Output: i"
on the side of the angels,"

Output: i"
on the side of the angels,"

Output: i"
on the side of the angels,"

Output: i"
jump on the bandwagon,"

Output: i"
jump on the bandwagon,"

Output: i"
jump on the bandwagon,"

Output: i"
turn the other cheek,"

output: i"
raise the roof,"

Output: i"
raise the roof,"

Output: i"
raise the roof,"

Output: i"
do the right thing,"

Output: i"
do the right thing,"

Output: i"
do the right thing,"

output: i"
on the square,"

Output: l"
on the square,"

Output: i"
on the square,"

Output: l"
pick up the pieces,"

Output: i"
pick up the pieces,"

Output: l"
pick up the pieces,"

Output: i"
touch and go,"

Output: i"
off and running,"

Output: i"
off and running,"

Output: i"
off and running,"

Output: i"
horses for courses,"

Output: i"
horses for courses,"

output: i"
horses for courses,"

output: i"
wipe the slate clean,"

Output: i"
wipe the slate clean,"

output: i"
wipe the slate clean,"

Output: i"
hit the jackpot,"

Output: i"
hit the jackpot,"

Output: i"
hit the jackpot,"

Output: i"
