idiom,sentence
all hell broke loose,i
all hell broke loose,i
all hell broke loose,Output: i
off the hook,Output: i
off the hook,i
off the hook,i
against the grain,i
against the grain,i
play with fire,i
play with fire,l
play with fire,i
make a killing,"The expression 'make a killing' is used figuratively in the sentence: 'Gardening columns in the Sunday newspapers were full of it, magazines and television programmes gave advice and encouragement and the garden centers made a killing on weedkiller sales.' → Output: i"
make a killing,i
make a killing,Output: i
carry the can,i
carry the can,i
carry the can,i
in the doghouse,i
in the doghouse,i
in the doghouse,i
behind the scenes,l
behind the scenes,l
behind the scenes,i
go to the wall,i
go to the wall,i
go to the wall,l
see the light of day,i
see the light of day,i
under the weather,i
under the weather,l
under the weather,l
jump through hoops,i
jump through hoops,i
jump through hoops,Output: i
on the horn,i
on the horn,l
to the bone,i
to the bone,l
push the envelope,i
push the envelope,i
look on the bright side,i
look on the bright side,Output: i
up to here,i
up to here,i
up to here,i
night and day,"The expression 'night and day' is used figuratively in the sentence: 'She says they used her orchard as a toilet, and their property was invaded night and day.' 
Output: i"
night and day,l
head for the hills,l
head for the hills,i
head for the hills,i
pass the buck,i
pass the buck,i
rise from the ashes,l
rise from the ashes,l
rise from the ashes,i
meat and potatoes,i
meat and potatoes,i
meat and potatoes,l
in bed with,i
in bed with,Output: l
in bed with,l
in the pink,i
in the pink,i
in the pink,"The expression 'in the pink' is used literally in the sentence: 'Avanti is the first busy Lizzie in soft pink with frilled, deep rose edges.' 
Output: l"
go to town,l
go to town,l
go to town,i
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,i
par for the course,i
par for the course,i
out of line,l
out of line,i
out of line,i
stay the course,"In the sentence 'But despite the appalling conditions, most crews stayed the course and out of 72 rafts competing, 59 made it to the finish at Chepstow.', the expression 'stay the course' is used figuratively. 
Output: i"
stay the course,i
stay the course,i
smoke and mirrors,i
smoke and mirrors,i
get to the bottom of,i
get to the bottom of,i
get to the bottom of,i
by the book,i
by the book,i
in your face,i
in your face,i
in your face,i
in the black,i
in the black,l
in the black,i
hit the nail on the head,i
hit the nail on the head,i
in the driving seat,i
in the driving seat,i
in the driving seat,Output: i
join the club,Output: i
join the club,i
join the club,i
walk the plank,i
walk the plank,i
eat humble pie,i
eat humble pie,i
eat humble pie,i
up the river,i
up the river,i
up the river,Output: i
circle the wagons,i
look the part,l
look the part,l
look the part,i
moment of truth,i
all bets are off,i
all bets are off,i
knock someone's socks off,i
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,i
jump on the bandwagon,Output: i
jump on the bandwagon,i
turn the other cheek,i
raise the roof,i
raise the roof,i
raise the roof,Output: i
do the right thing,i
do the right thing,i
do the right thing,l
on the square,l
on the square,l
on the square,l
pick up the pieces,i
pick up the pieces,l
pick up the pieces,i
touch and go,i
off and running,i
off and running,i
off and running,i
horses for courses,i
horses for courses,i
horses for courses,i
wipe the slate clean,i
wipe the slate clean,i
wipe the slate clean,i
hit the jackpot,i
hit the jackpot,i
hit the jackpot,i
round the bend,i
round the bend,Output: i
round the bend,i
go for the jugular,Output: i
go for the jugular,i
go for the jugular,Output: i
nip and tuck,i
nip and tuck,Output: i
nip and tuck,i
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,i
out of order,i
out of order,Output: i
muddy the waters,i
muddy the waters,i
muddy the waters,Output: i
move the goalposts,i
move the goalposts,i
move the goalposts,i
hair of the dog,i
hair of the dog,i
hair of the dog,l
have someone's number,i
neither here nor there,i
neither here nor there,i
neither here nor there,i
out of the woods,Output: i
out of the woods,i
out of the woods,Output: i
sit on the fence,i
sit on the fence,i
sit on the fence,i
keep the peace,l
keep the peace,l
six feet under,Output: i
six feet under,i
six feet under,l
dead and buried,i
dead and buried,i
dead and buried,"The expression 'dead and buried' is being used figuratively in the sentence: '... but unfortunately he left no provision for anybody to give it after he was dead, so that in his case he and benefaction are both dead and buried.' → Output: i"
down in the dumps,i
down in the dumps,i
down in the dumps,i
know the score,i
know the score,I
know the score,Output: i
oil and water,Output: i
oil and water,i
oil and water,l
add fuel to the fire,i
