idiom,sentence
all hell broke loose,Output: l
all hell broke loose,Output: l
all hell broke loose,Output: i
off the hook,Output: l
off the hook,Output: l
off the hook,Output: l
against the grain,Output: l
against the grain,Output: l
play with fire,Output: l
play with fire,Output: l
play with fire,Output: l
make a killing,Output: i
make a killing,Output: l
make a killing,Output: i
carry the can,Output: l
carry the can,Output: l
carry the can,Output: l
in the doghouse,Output: l
in the doghouse,Output: l
in the doghouse,Output: l
behind the scenes,Output: i
behind the scenes,Output: i
behind the scenes,Output: i
go to the wall,Output: l
go to the wall,Output: l
go to the wall,Output: l
see the light of day,Output: l
see the light of day,Output: l
under the weather,Output: l
under the weather,Output: l
under the weather,Output: l
jump through hoops,Output: l
jump through hoops,Output: l
jump through hoops,Output: l
on the horn,Output: l
on the horn,Output: l
to the bone,Output: l
to the bone,Output: l
push the envelope,Output: l
push the envelope,Output: l
look on the bright side,Output: l
look on the bright side,Output: l
up to here,Output: l
up to here,Output: l
up to here,Output: l
night and day,Output: l
night and day,Output: i
head for the hills,Output: i
head for the hills,Output: l
head for the hills,Output: l
pass the buck,Output: l
pass the buck,Output: l
rise from the ashes,Output: i
rise from the ashes,Output: i
rise from the ashes,Output: i
meat and potatoes,Output: l
meat and potatoes,Output: l
meat and potatoes,Output: l
in bed with,Output: l
in bed with,Output: l
in bed with,Output: l
in the pink,Output: l
in the pink,Output: l
in the pink,Output: l
go to town,Output: l
go to town,Output: l
go to town,Output: i
heart of gold,Output: i
heart of gold,Output: l
heart of gold,Output: l
par for the course,Output: l
par for the course,Output: l
par for the course,Output: l
out of line,Output: l
out of line,Output: l
out of line,Output: l
stay the course,Output: i
stay the course,Output: i
stay the course,Output: i
smoke and mirrors,Output: l
smoke and mirrors,Output: l
get to the bottom of,Output: l
get to the bottom of,Output: l
get to the bottom of,Output: l
by the book,Output: l
by the book,Output: l
in your face,Output: l
in your face,Output: l
in your face,Output: l
in the black,Output: l
in the black,Output: l
in the black,Output: l
hit the nail on the head,Output: l
hit the nail on the head,Output: l
in the driving seat,Output: l
in the driving seat,Output: l
in the driving seat,Output: l
join the club,Output: l
join the club,Output: l
join the club,Output: l
walk the plank,Output: i
walk the plank,Output: l
eat humble pie,Output: l
eat humble pie,Output: l
eat humble pie,Output: l
up the river,Output: l
up the river,Output: l
up the river,Output: l
circle the wagons,Output: l
look the part,Output: i
