idiom,sentence
all hell broke loose,"

output: i"
all hell broke loose,"

Output: i"
all hell broke loose,"

output: i"
off the hook,"

Output: l"
off the hook,"

output: l"
off the hook,"

output: l"
against the grain,"

output: l"
against the grain,"

output: l"
play with fire,"

Output: l"
play with fire,"

output: l"
play with fire,"

output: l"
make a killing,"

Output: i"
make a killing,"

output: i"
make a killing,"

Output: i"
carry the can,"

output: l"
carry the can,"

output: l"
carry the can,"

output: l"
in the doghouse,"

Output: i"
in the doghouse,"

Output: l"
in the doghouse,"

output: l"
behind the scenes,"

output: l"
behind the scenes,"

Output: l"
behind the scenes,"

output: i"
go to the wall,"

Output: l"
go to the wall,"

output: l"
go to the wall,"

output: l"
see the light of day,"

output: i"
see the light of day,"

output: l"
under the weather,"

output: i"
under the weather,"

Output: i"
under the weather,"

output: i"
jump through hoops,"

output: l"
jump through hoops,"

output: i"
jump through hoops,"

output: l"
on the horn,"

output: l"
on the horn,"

Output: l"
to the bone,"

Output: l"
to the bone,"

Output: l"
push the envelope,"

output: l"
push the envelope,"

Output: l"
look on the bright side,"

output: i"
look on the bright side,"

output: i"
up to here,"

output: l"
up to here,"

output: l"
up to here,"

output: i"
night and day,"

output: i"
night and day,"

Output: i"
head for the hills,"

Output: l"
head for the hills,"

output: l"
head for the hills,"

output: l"
pass the buck,"

output: i"
pass the buck,"

output: i"
rise from the ashes,"

output: i"
rise from the ashes,"

output: i"
rise from the ashes,"

output: i"
meat and potatoes,"

output: l"
meat and potatoes,"

output: l"
meat and potatoes,"

Output: l"
in bed with,"

output: l"
in bed with,"

output: l"
in bed with,"

Output: l"
in the pink,"

output: i"
in the pink,"

output: i"
in the pink,"

Output: i"
go to town,"

output: l"
go to town,"

output: i"
go to town,"

Output: i"
heart of gold,"

output: i"
heart of gold,"

output: i"
heart of gold,"

output: i"
par for the course,"

output: l"
par for the course,"

Output: l"
par for the course,"

Output: l"
out of line,"

Output: l"
out of line,"

output: l"
out of line,"

Output: l"
stay the course,"

Output: i"
stay the course,"

Output: i"
stay the course,"

Output: i"
smoke and mirrors,"

output: i"
smoke and mirrors,"

output: i"
get to the bottom of,"

Output: l"
get to the bottom of,"

Output: i"
get to the bottom of,"

Output: l"
by the book,"

output: l"
by the book,"

Output: l"
in your face,"

output: l"
in your face,"

output: l"
in your face,"

Output: l"
in the black,"

Output: l"
in the black,"

Output: l"
in the black,"

output: l"
hit the nail on the head,"

output: i"
hit the nail on the head,"

output: i"
in the driving seat,"

Output: i"
in the driving seat,"

Output: i"
in the driving seat,"

Output: l"
join the club,"

output: l"
join the club,"

output: l"
join the club,"

output: i"
walk the plank,"

output: l"
walk the plank,"

Output: l"
eat humble pie,"

Output: l"
eat humble pie,"

output: i"
eat humble pie,"

output: i"
up the river,"

output: l"
up the river,"

output: l"
up the river,"

output: l"
circle the wagons,"

output: l"
look the part,"

Output: l"
look the part,"

output: i"
look the part,"

Output: i"
moment of truth,"

output: i"
all bets are off,"

output: i"
all bets are off,"

Output: i"
knock someone's socks off,"

Output: i"
on the side of the angels,"

Output: i"
on the side of the angels,"

Output: i"
on the side of the angels,"

output: i"
jump on the bandwagon,"

output: i"
jump on the bandwagon,"

Output: i"
jump on the bandwagon,"

output: i"
turn the other cheek,"

output: i"
raise the roof,"

output: l"
raise the roof,"

output: l"
raise the roof,"

output: l"
do the right thing,"

output: i"
do the right thing,"

output: i"
do the right thing,"

output: i"
on the square,"

output: l"
on the square,"

output: l"
on the square,"

output: l"
pick up the pieces,"

output: l"
pick up the pieces,"

Output: l"
pick up the pieces,"

output: i"
touch and go,"

Output: l"
off and running,"

output: l"
off and running,"

Output: l"
off and running,"

Output: l"
horses for courses,"

output: i"
horses for courses,"

output: i"
horses for courses,"

output: l"
wipe the slate clean,"

output: l"
wipe the slate clean,"

output: i"
wipe the slate clean,"

output: i"
hit the jackpot,"

output: i"
hit the jackpot,"

Output: i"
hit the jackpot,"

output: i"
round the bend,"

output: l"
round the bend,"

output: l"
round the bend,"

Output: l"
go for the jugular,"

output: i"
go for the jugular,"

output: i"
go for the jugular,"

output: l"
nip and tuck,"

Output: l"
nip and tuck,"

output: l"
nip and tuck,"

Output: i"
throw the baby out with the bathwater,"

Output: i"
throw the baby out with the bathwater,"

output: i"
out of order,"

output: l"
