idiom,sentence
all hell broke loose,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'all hell broke loose'
    sentence; 'When the demons were unleashed from the underworld, all hell broke loose on Earth.'
    Only generate the letter after 'output: '. output: i"
all hell broke loose,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'all hell broke loose'
    sentence; 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.'
    Only generate the letter after 'output: '. output: i"
all hell broke loose,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'all hell broke loose'
    sentence; 'The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.'
    Only generate the letter after 'output: '. output: i"
off the hook,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'off the hook'
    sentence; 'The fish wriggled and managed to get itself off the hook.'
    Only generate the letter after 'output: '. output: i"
off the hook,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'off the hook'
    sentence; 'She carefully took the ornament off the hook to avoid breaking it.'
    Only generate the letter after 'output: '. output: l"
off the hook,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'off the hook'
    sentence; 'The coat fell off the hook and onto the floor.'
    Only generate the letter after 'output: '. output: l"
against the grain,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'against the grain'
    sentence; 'Carpenters recommend not to sand against the grain as it can damage the wood.'
    Only generate the letter after 'output: '. output: l"
against the grain,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'against the grain'
    sentence; 'She sliced the loaf of bread against the grain, making the pieces uneven.'
    Only generate the letter after 'output: '. output: l"
play with fire,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'play with fire'
    sentence; 'Despite the danger, he decided to play with fire, poking the embers with a stick.'
    Only generate the letter after 'output: '. output: i"
play with fire,"
     You are a language expert who can only generate one letter. Your task is to interpret the sentence, and generate a letter ""i"" if the idiom is used figuratively, or generate ""l"" if the expression is used literally.
    expression: 'play with fire'
    sentence; 'The children were strictly forbidden to play with fire while camping.'
    Only generate the letter after 'output: '. output: l"
