idiom,sentence
all hell broke loose,l
all hell broke loose,l
all hell broke loose,l
off the hook,The expression 'off the hook' is used literally in the sentence: 'The fish wriggled and managed to get itself off the hook.' → Output: l
off the hook,l
off the hook,l
against the grain,l
against the grain,l
play with fire,l
play with fire,Output: l
play with fire,l
make a killing,l
make a killing,Output: l
make a killing,l
carry the can,l
carry the can,"The expression 'carry the can' is used literally in the sentence: 'While camping, she was assigned to carry the can of beans to the picnic table.' → Output: l"
carry the can,l
in the doghouse,l
in the doghouse,l
in the doghouse,l
behind the scenes,l
behind the scenes,l
behind the scenes,l
go to the wall,l
go to the wall,l
go to the wall,l
see the light of day,l
see the light of day,l
under the weather,l
under the weather,l
under the weather,l
jump through hoops,The expression 'jump through hoops' is used literally in the sentence: 'The circus dog was trained to jump through hoops during the performance.' → Output: l
jump through hoops,l
jump through hoops,l
on the horn,l
on the horn,l
to the bone,l
to the bone,l
push the envelope,l
push the envelope,l
look on the bright side,l
look on the bright side,l
up to here,l
up to here,l
up to here,l
night and day,l
night and day,The expression 'night and day' is used figuratively in the sentence: 'She studied night and day to prepare for her exams.' → Output: i
head for the hills,l
head for the hills,l
head for the hills,l
pass the buck,l
pass the buck,l
rise from the ashes,l
rise from the ashes,l
rise from the ashes,l
meat and potatoes,l
meat and potatoes,l
meat and potatoes,l
in bed with,l
in bed with,l
in bed with,"The expression 'in bed with' is used literally in the sentence: 'She spent the entire day in bed with a high fever, unable to get up.' → Output: l"
in the pink,Output: l
in the pink,l
in the pink,l
go to town,"The expression 'go to town' is used literally in the sentence: 'Every morning, I go to town to buy fresh produce.' → Output: l"
go to town,l
go to town,l
heart of gold,l
heart of gold,l
heart of gold,l
par for the course,l
par for the course,l
par for the course,l
out of line,l
out of line,l
out of line,l
stay the course,l
stay the course,l
stay the course,l
smoke and mirrors,l
smoke and mirrors,l
get to the bottom of,The expression 'get to the bottom of' is used literally in the sentence: 'The divers had to swim deeper to get to the bottom of the ocean.' → Output: l
get to the bottom of,l
get to the bottom of,l
by the book,l
by the book,l
in your face,l
in your face,l
in your face,l
in the black,"The expression 'in the black' is used literally in the sentence: 'At night, the old mansion looked even more eerie in the black.' → Output: l"
in the black,"The expression 'in the black' is used literally in the sentence: 'The cat, almost invisible in the black, pounced on the unsuspecting mouse.' → Output: l"
in the black,l
hit the nail on the head,l
hit the nail on the head,l
in the driving seat,l
in the driving seat,l
in the driving seat,l
join the club,l
join the club,l
join the club,l
walk the plank,l
walk the plank,l
eat humble pie,l
eat humble pie,l
eat humble pie,l
up the river,l
up the river,l
up the river,l
circle the wagons,l
look the part,l
look the part,i
look the part,i
moment of truth,i
all bets are off,l
all bets are off,l
knock someone's socks off,l
on the side of the angels,l
on the side of the angels,l
on the side of the angels,l
jump on the bandwagon,l
jump on the bandwagon,l
jump on the bandwagon,l
turn the other cheek,l
raise the roof,l
raise the roof,l
raise the roof,l
do the right thing,i
do the right thing,i
do the right thing,The expression 'do the right thing' is used figuratively in the sentence: 'She was praised by her family for always trying to do the right thing.' → Output: i
on the square,l
on the square,l
on the square,l
pick up the pieces,"The expression 'pick up the pieces' is used literally in the sentence: 'After the plate fell and shattered, I had to carefully pick up the pieces.' → Output: l"
pick up the pieces,l
pick up the pieces,l
touch and go,l
off and running,l
off and running,l
off and running,l
horses for courses,l
horses for courses,l
horses for courses,l
wipe the slate clean,l
wipe the slate clean,l
wipe the slate clean,i
hit the jackpot,l
hit the jackpot,l
hit the jackpot,l
round the bend,l
round the bend,l
round the bend,l
go for the jugular,l
go for the jugular,l
go for the jugular,l
nip and tuck,l
nip and tuck,l
nip and tuck,l
throw the baby out with the bathwater,l
throw the baby out with the bathwater,i
out of order,The expression 'out of order' is used literally in the sentence: 'The elevator is out of order so we'll need to use the stairs.'. → Output: l
out of order,l
out of order,l
muddy the waters,l
muddy the waters,l
muddy the waters,l
move the goalposts,l
move the goalposts,l
move the goalposts,l
hair of the dog,l
hair of the dog,l
hair of the dog,l
have someone's number,l
neither here nor there,l
neither here nor there,l
neither here nor there,l
out of the woods,l
out of the woods,l
out of the woods,The expression 'out of the woods' is used literally in the sentence: 'He could see the sunlight filtering through the trees as he walked out of the woods.' → Output: l
sit on the fence,l
sit on the fence,l
sit on the fence,l
keep the peace,l
keep the peace,l
six feet under,l
six feet under,l
six feet under,l
dead and buried,l
dead and buried,l
dead and buried,l
down in the dumps,i
down in the dumps,l
down in the dumps,Output: l
know the score,l
know the score,l
know the score,l
oil and water,l
oil and water,l
oil and water,l
add fuel to the fire,l
add fuel to the fire,The expression 'add fuel to the fire' is used literally in the sentence: 'The chef had to add fuel to the fire to keep his barbecue going.' → Output: l
add fuel to the fire,l
power behind the throne,i
power behind the throne,i
power behind the throne,i
blood and guts,l
blood and guts,l
blood and guts,l
strike while the iron is hot,l
strike while the iron is hot,l
on the hop,l
on the hop,l
on the hop,l
all over the map,l
all over the map,l
all over the map,l
let the cat out of the bag,l
let the cat out of the bag,l
let the cat out of the bag,l
blaze a trail,l
blaze a trail,l
blaze a trail,l
on the bounce,l
on the bounce,l
on the bounce,l
at a canter,l
at a canter,l
at a canter,l
out to lunch,l
out to lunch,l
out to lunch,l
twist someone's arm,l
twist someone's arm,l
twist someone's arm,l
swings and roundabouts,l
swings and roundabouts,l
swings and roundabouts,l
on the ball,l
on the ball,l
rob Peter to pay Paul,l
rob Peter to pay Paul,l
rob Peter to pay Paul,i
ring a bell,l
ring a bell,l
ring a bell,The expression 'ring a bell' is used literally in the sentence: 'The teacher would ring a bell to signal the end of recess.' → Output: l
to die for,l
