idiom,response,response_checked
all hell broke loose,i,i
all hell broke loose,i,i
all hell broke loose,check,i
off the hook,check,i
off the hook,i,i
off the hook,i,i
against the grain,i,i
against the grain,check,i
play with fire,check,i
play with fire,i,i
play with fire,i,i
make a killing,i,i
make a killing,check,i
make a killing,check,i
carry the can,i,i
carry the can,i,i
carry the can,i,i
in the doghouse,check,i
in the doghouse,i,i
in the doghouse,i,i
behind the scenes,i,i
behind the scenes,i,i
behind the scenes,check,i
go to the wall,i,i
go to the wall,i,i
go to the wall,i,i
see the light of day,check,i
see the light of day,check,i
under the weather,i,i
under the weather,i,i
under the weather,i,i
jump through hoops,check,i
jump through hoops,i,i
jump through hoops,check,i
on the horn,i,i
on the horn,check,i
to the bone,check,i
to the bone,check,i
push the envelope,check,u
push the envelope,i,i
look on the bright side,check,u
look on the bright side,check,i
up to here,i,i
up to here,i,i
up to here,i,i
night and day,check,i
night and day,check,i
head for the hills,check,i
head for the hills,i,i
head for the hills,i,i
pass the buck,i,i
pass the buck,i,i
rise from the ashes,i,i
rise from the ashes,check,i
rise from the ashes,i,i
meat and potatoes,i,i
meat and potatoes,check,i
meat and potatoes,i,i
in bed with,i,i
in bed with,check,u
in bed with,i,i
in the pink,i,i
in the pink,check,i
in the pink,i,i
go to town,i,i
go to town,i,i
go to town,i,i
heart of gold,i,i
heart of gold,check,u
heart of gold,check,i
par for the course,i,i
par for the course,check,i
par for the course,i,i
out of line,i,i
out of line,i,i
out of line,check,i
stay the course,check,i
stay the course,i,i
stay the course,check,i
smoke and mirrors,check,i
smoke and mirrors,check,i
get to the bottom of,check,i
get to the bottom of,check,i
get to the bottom of,check,i
by the book,check,i
by the book,i,i
in your face,check,i
in your face,i,i
in your face,i,i
in the black,check,i
in the black,check,u
in the black,check,i
hit the nail on the head,check,i
hit the nail on the head,check,i
in the driving seat,i,i
in the driving seat,check,i
in the driving seat,i,i
join the club,check,i
join the club,i,i
join the club,i,i
walk the plank,i,i
walk the plank,i,i
eat humble pie,i,i
eat humble pie,i,i
eat humble pie,i,i
up the river,i,i
up the river,i,i
up the river,check,i
circle the wagons,check,i
look the part,i,i
look the part,i,i
look the part,i,i
moment of truth,i,i
all bets are off,check,i
all bets are off,i,i
knock someone's socks off,i,i
on the side of the angels,check,l
on the side of the angels,check,i
on the side of the angels,check,i
jump on the bandwagon,i,i
jump on the bandwagon,i,i
jump on the bandwagon,i,i
turn the other cheek,i,i
raise the roof,i,i
raise the roof,i,i
raise the roof,check,i
do the right thing,check,i
do the right thing,i,i
do the right thing,i,i
on the square,i,i
on the square,i,i
on the square,i,i
pick up the pieces,i,i
pick up the pieces,i,i
pick up the pieces,i,i
touch and go,i,i
off and running,check,i
off and running,i,i
off and running,i,i
horses for courses,i,i
horses for courses,check,i
horses for courses,i,i
wipe the slate clean,check,i
wipe the slate clean,i,i
wipe the slate clean,i,i
hit the jackpot,check,i
hit the jackpot,i,i
hit the jackpot,i,i
round the bend,i,i
round the bend,check,i
round the bend,check,i
go for the jugular,i,i
go for the jugular,i,i
go for the jugular,i,i
nip and tuck,check,i
nip and tuck,i,i
nip and tuck,check,i
throw the baby out with the bathwater,i,i
throw the baby out with the bathwater,i,i
out of order,i,i
out of order,check,i
out of order,l,l
muddy the waters,i,i
muddy the waters,i,i
muddy the waters,i,i
move the goalposts,i,i
move the goalposts,check,u
move the goalposts,i,i
hair of the dog,i,i
hair of the dog,check,i
hair of the dog,check,i
have someone's number,i,i
neither here nor there,check,i
neither here nor there,i,i
neither here nor there,check,i
out of the woods,i,i
out of the woods,i,i
out of the woods,i,i
sit on the fence,check,u
sit on the fence,i,i
sit on the fence,check,i
keep the peace,i,i
keep the peace,i,i
six feet under,i,i
six feet under,i,i
six feet under,check,i
dead and buried,check,i
dead and buried,i,i
dead and buried,check,i
down in the dumps,i,i
down in the dumps,i,i
down in the dumps,i,i
know the score,i,i
know the score,i,i
know the score,i,i
oil and water,check,i
oil and water,check,i
oil and water,i,i
add fuel to the fire,check,i
add fuel to the fire,check,i
add fuel to the fire,i,i
power behind the throne,check,i
power behind the throne,l,l
power behind the throne,check,i
