idiom,response,response_checked
all hell broke loose,i,i
all hell broke loose,check,u
all hell broke loose,i,i
off the hook,i,i
off the hook,check,i
off the hook,i,i
against the grain,check,i
against the grain,i,i
play with fire,i,i
play with fire,i,i
play with fire,i,i
make a killing,l,l
make a killing,i,i
make a killing,check,i
carry the can,i,i
carry the can,i,i
carry the can,check,i
in the doghouse,i,i
in the doghouse,i,i
in the doghouse,l,l
behind the scenes,i,i
behind the scenes,i,i
behind the scenes,i,i
go to the wall,i,i
go to the wall,i,i
go to the wall,i,i
see the light of day,i,i
see the light of day,i,i
under the weather,l,l
under the weather,i,i
under the weather,check,l
jump through hoops,i,i
jump through hoops,i,i
jump through hoops,i,i
on the horn,l,l
on the horn,i,i
to the bone,l,l
to the bone,i,i
push the envelope,i,i
push the envelope,i,i
look on the bright side,i,i
look on the bright side,i,i
up to here,check,l
up to here,i,i
up to here,i,i
night and day,i,i
night and day,i,i
head for the hills,i,i
head for the hills,i,i
head for the hills,i,i
pass the buck,check,i
pass the buck,i,i
rise from the ashes,check,i
rise from the ashes,check,i
rise from the ashes,i,i
meat and potatoes,l,l
meat and potatoes,l,l
meat and potatoes,i,i
in bed with,i,i
in bed with,i,i
in bed with,i,i
in the pink,check,i
in the pink,i,i
in the pink,i,i
go to town,l,l
go to town,i,i
go to town,i,i
heart of gold,check,i
heart of gold,i,i
heart of gold,i,i
par for the course,i,i
par for the course,i,i
par for the course,i,i
out of line,i,i
out of line,i,i
out of line,i,i
stay the course,i,i
stay the course,i,i
stay the course,check,i
smoke and mirrors,i,i
smoke and mirrors,check,i
get to the bottom of,i,i
get to the bottom of,i,i
get to the bottom of,i,i
by the book,l,l
by the book,check,i
in your face,i,i
in your face,i,i
in your face,i,i
in the black,i,i
in the black,check,i
in the black,i,i
hit the nail on the head,i,i
hit the nail on the head,i,i
in the driving seat,i,i
in the driving seat,i,i
in the driving seat,i,i
join the club,check,i
join the club,i,i
join the club,i,i
walk the plank,i,i
walk the plank,i,i
eat humble pie,l,l
eat humble pie,i,i
eat humble pie,i,i
up the river,l,l
up the river,i,i
up the river,i,i
circle the wagons,i,i
look the part,check,i
look the part,check,i
look the part,i,i
moment of truth,check,i
all bets are off,check,i
all bets are off,i,i
knock someone's socks off,i,i
on the side of the angels,check,l
on the side of the angels,check,i
on the side of the angels,i,i
jump on the bandwagon,i,i
jump on the bandwagon,l,l
jump on the bandwagon,l,l
turn the other cheek,i,i
raise the roof,i,i
raise the roof,i,i
raise the roof,i,i
do the right thing,i,i
do the right thing,i,i
do the right thing,l,l
on the square,i,i
on the square,i,i
on the square,i,i
pick up the pieces,i,i
pick up the pieces,i,i
pick up the pieces,i,i
touch and go,check,i
off and running,check,i
off and running,i,i
off and running,i,i
horses for courses,check,l
horses for courses,i,i
horses for courses,check,i
wipe the slate clean,i,i
wipe the slate clean,i,i
wipe the slate clean,i,i
hit the jackpot,i,i
hit the jackpot,i,i
hit the jackpot,i,i
round the bend,i,i
round the bend,i,i
round the bend,i,i
go for the jugular,i,i
go for the jugular,l,l
go for the jugular,i,i
nip and tuck,i,i
nip and tuck,i,i
nip and tuck,i,i
throw the baby out with the bathwater,i,i
throw the baby out with the bathwater,i,i
out of order,i,i
out of order,l,l
out of order,check,l
muddy the waters,check,i
muddy the waters,i,i
muddy the waters,i,i
move the goalposts,i,i
move the goalposts,i,i
move the goalposts,i,i
hair of the dog,i,i
hair of the dog,l,l
hair of the dog,i,i
have someone's number,check,i
neither here nor there,check,i
neither here nor there,i,i
neither here nor there,check,i
out of the woods,i,i
out of the woods,i,i
out of the woods,check,i
sit on the fence,l,l
sit on the fence,l,l
sit on the fence,i,i
keep the peace,l,l
keep the peace,check,l
six feet under,i,i
six feet under,i,i
six feet under,i,i
dead and buried,l,l
dead and buried,check,l
dead and buried,i,i
down in the dumps,i,i
down in the dumps,check,u
down in the dumps,i,i
know the score,check,i
know the score,i,i
know the score,check,'i'
oil and water,i,i
oil and water,i,i
oil and water,i,i
add fuel to the fire,i,i
add fuel to the fire,check,i
add fuel to the fire,i,i
power behind the throne,check,i
power behind the throne,i,i
power behind the throne,check,i
blood and guts,i,i
blood and guts,i,i
blood and guts,i,i
strike while the iron is hot,i,i
strike while the iron is hot,check,i
on the hop,i,i
on the hop,i,i
on the hop,i,i
all over the map,i,i
all over the map,i,i
all over the map,i,i
let the cat out of the bag,i,i
let the cat out of the bag,i,i
let the cat out of the bag,i,i
blaze a trail,check,i
blaze a trail,i,i
blaze a trail,check,i
on the bounce,i,i
on the bounce,i,i
on the bounce,i,i
at a canter,i,i
at a canter,i,i
at a canter,i,i
out to lunch,i,i
out to lunch,i,i
out to lunch,i,i
twist someone's arm,i,i
twist someone's arm,i,i
twist someone's arm,i,i
swings and roundabouts,i,i
swings and roundabouts,i,i
swings and roundabouts,i,i
on the ball,i,i
on the ball,i,i
rob Peter to pay Paul,i,i
rob Peter to pay Paul,i,i
rob Peter to pay Paul,i,i
ring a bell,i,i
ring a bell,i,i
ring a bell,i,i
to die for,check,i
to die for,i,i
to die for,i,i
everything but the kitchen sink,i,i
spend a penny,i,i
spend a penny,i,i
spend a penny,i,i
in black and white,i,i
in black and white,i,i
in black and white,i,i
doom and gloom,check,i
doom and gloom,i,i
doom and gloom,check,i
keep tabs on,i,i
keep tabs on,check,i
keep tabs on,i,i
get the picture,i,i
get the picture,i,i
get the picture,i,i
look the other way,i,i
look the other way,i,i
look the other way,check,i
