idiom,cleaned_text
all hell broke loose,u
all hell broke loose,u
all hell broke loose,u
off the hook,u
off the hook,u
off the hook,u
against the grain,u
against the grain,u
play with fire,u
play with fire,u
play with fire,u
make a killing,u
make a killing,u
make a killing,u
carry the can,u
carry the can,u
carry the can,u
in the doghouse,u
in the doghouse,u
in the doghouse,u
behind the scenes,u
behind the scenes,u
behind the scenes,u
go to the wall,u
go to the wall,u
go to the wall,u
see the light of day,u
see the light of day,u
under the weather,u
under the weather,u
under the weather,u
jump through hoops,u
jump through hoops,u
jump through hoops,u
on the horn,u
on the horn,u
to the bone,u
to the bone,u
push the envelope,u
push the envelope,u
look on the bright side,u
look on the bright side,u
up to here,u
up to here,u
up to here,u
night and day,u
night and day,u
head for the hills,u
head for the hills,u
head for the hills,u
pass the buck,u
pass the buck,u
rise from the ashes,u
rise from the ashes,u
rise from the ashes,u
meat and potatoes,u
meat and potatoes,u
meat and potatoes,u
in bed with,u
in bed with,u
in bed with,u
in the pink,u
in the pink,u
in the pink,u
go to town,u
go to town,u
go to town,u
heart of gold,u
heart of gold,u
heart of gold,u
par for the course,u
par for the course,u
par for the course,u
out of line,u
out of line,u
out of line,u
stay the course,u
stay the course,u
stay the course,u
smoke and mirrors,u
smoke and mirrors,u
get to the bottom of,u
get to the bottom of,u
get to the bottom of,u
by the book,u
by the book,u
in your face,u
in your face,u
in your face,u
in the black,u
in the black,u
in the black,u
hit the nail on the head,u
hit the nail on the head,u
in the driving seat,u
in the driving seat,u
in the driving seat,u
join the club,u
join the club,u
join the club,u
walk the plank,u
walk the plank,u
eat humble pie,u
eat humble pie,u
eat humble pie,u
up the river,u
up the river,u
up the river,u
circle the wagons,u
look the part,u
look the part,u
look the part,u
moment of truth,u
all bets are off,u
all bets are off,u
knock someone's socks off,u
on the side of the angels,u
on the side of the angels,u
on the side of the angels,u
jump on the bandwagon,u
jump on the bandwagon,u
jump on the bandwagon,u
turn the other cheek,u
raise the roof,u
raise the roof,u
raise the roof,u
do the right thing,u
do the right thing,u
do the right thing,u
on the square,u
on the square,u
on the square,u
pick up the pieces,u
pick up the pieces,u
pick up the pieces,u
touch and go,u
off and running,u
off and running,u
off and running,u
horses for courses,u
horses for courses,u
horses for courses,u
wipe the slate clean,u
wipe the slate clean,u
wipe the slate clean,u
hit the jackpot,u
hit the jackpot,u
hit the jackpot,u
round the bend,u
round the bend,u
round the bend,u
go for the jugular,u
go for the jugular,u
go for the jugular,u
nip and tuck,u
nip and tuck,u
nip and tuck,u
throw the baby out with the bathwater,u
throw the baby out with the bathwater,u
out of order,u
out of order,u
out of order,u
muddy the waters,u
muddy the waters,u
muddy the waters,u
move the goalposts,u
move the goalposts,u
move the goalposts,u
hair of the dog,u
hair of the dog,u
hair of the dog,u
have someone's number,u
neither here nor there,u
neither here nor there,u
neither here nor there,u
out of the woods,u
out of the woods,u
out of the woods,u
sit on the fence,u
sit on the fence,u
sit on the fence,u
keep the peace,u
keep the peace,u
six feet under,u
six feet under,u
six feet under,u
dead and buried,u
dead and buried,u
dead and buried,u
down in the dumps,u
down in the dumps,u
down in the dumps,u
know the score,u
know the score,u
know the score,u
oil and water,u
oil and water,u
oil and water,u
add fuel to the fire,u
add fuel to the fire,u
add fuel to the fire,u
power behind the throne,u
power behind the throne,u
power behind the throne,u
blood and guts,u
blood and guts,u
blood and guts,u
strike while the iron is hot,u
strike while the iron is hot,u
on the hop,u
on the hop,u
on the hop,u
all over the map,u
all over the map,u
all over the map,u
let the cat out of the bag,u
let the cat out of the bag,u
let the cat out of the bag,u
blaze a trail,u
blaze a trail,u
blaze a trail,u
on the bounce,u
on the bounce,u
on the bounce,u
at a canter,u
at a canter,u
at a canter,u
out to lunch,u
out to lunch,u
out to lunch,u
twist someone's arm,u
twist someone's arm,u
twist someone's arm,u
swings and roundabouts,u
swings and roundabouts,u
swings and roundabouts,u
on the ball,u
on the ball,u
rob Peter to pay Paul,u
rob Peter to pay Paul,u
rob Peter to pay Paul,u
ring a bell,u
ring a bell,u
ring a bell,u
to die for,u
to die for,u
to die for,u
everything but the kitchen sink,u
spend a penny,u
spend a penny,u
spend a penny,u
in black and white,u
in black and white,u
in black and white,u
doom and gloom,u
doom and gloom,u
doom and gloom,u
keep tabs on,u
keep tabs on,u
keep tabs on,u
get the picture,u
get the picture,u
get the picture,u
look the other way,u
look the other way,u
look the other way,u
burst someone's bubble,u
burst someone's bubble,u
burst someone's bubble,u
fall in line,u
fall in line,u
fall in line,u
water under the bridge,u
water under the bridge,u
water under the bridge,u
keep a lid on,u
keep a lid on,u
keep a lid on,u
down the drain,u
down the drain,u
down the drain,u
make the cut,u
make the cut,u
make the cut,u
free and easy,u
free and easy,u
free and easy,u
with a vengeance,u
cut both ways,u
cut both ways,u
cut both ways,u
sing the praises of,u
sing the praises of,u
sing the praises of,u
hold the line,u
pull the plug,u
pull the plug,u
pull the plug,u
make a move,u
make a move,u
make a move,u
make a meal of,u
make a meal of,u
make a meal of,u
the icing on the cake,u
the icing on the cake,u
the icing on the cake,u
in the red,u
in the red,u
in the red,u
feel the pinch,u
feel the pinch,u
feel the pinch,u
under the microscope,u
under the microscope,u
under the microscope,u
pay the piper,u
pay the piper,u
pay the piper,u
on the trot,u
on the trot,u
on the trot,u
peaches and cream,u
peaches and cream,u
toe the line,u
toe the line,u
grasp the nettle,u
grasp the nettle,u
grasp the nettle,u
high and mighty,u
high and mighty,u
high and mighty,u
in the hole,u
in the hole,u
in the hole,u
take the fall,u
take the fall,u
take the fall,u
in the offing,u
in the offing,u
in the offing,u
ride roughshod over,u
ride roughshod over,u
ride roughshod over,u
crash and burn,u
crash and burn,u
crash and burn,u
dyed in the wool,u
dyed in the wool,u
dyed in the wool,u
fight fire with fire,u
fight fire with fire,u
fight fire with fire,u
all over the place,u
all over the place,u
all over the place,u
grind to a halt,u
grind to a halt,u
grind to a halt,u
in a nutshell,u
in a nutshell,u
rise and shine,u
take a back seat,u
take a bath,u
take a bath,u
take a bath,u
bury the hatchet,u
bury the hatchet,u
in the soup,u
in the soup,u
in the soup,u
grease the wheels,u
grease the wheels,u
grease the wheels,u
apples and oranges,u
apples and oranges,u
follow in someone's footsteps,u
follow in someone's footsteps,u
follow in someone's footsteps,u
under the wire,u
under the wire,u
under the wire,u
out of the blue,u
out of the blue,u
out of the blue,u
over the moon,u
over the moon,u
throw down the gauntlet,u
throw down the gauntlet,u
take the bull by the horns,u
take the bull by the horns,u
take the bull by the horns,u
over the top,u
over the top,u
over the top,u
sweetness and light,u
sweetness and light,u
behind someone's back,u
behind someone's back,u
on the ropes,u
take the cake,u
dig up dirt,u
dig up dirt,u
dig up dirt,u
left and right,u
dead in the water,u
dead in the water,u
dead in the water,u
take no prisoners,u
run out of steam,u
take a hike,u
take a hike,u
take a hike,u
go the extra mile,u
under a cloud,u
under a cloud,u
under a cloud,u
in someone's pocket,u
in someone's pocket,u
in someone's pocket,u
on the shelf,u
on the shelf,u
on the shelf,u
pound the pavement,u
cut and thrust,u
